༄༅།། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ་བཞུགས་སོ།། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།།	The Way of the Bodhisattva The Excellence of Bodhichitta Homage to all Buddhas and Bodhisattvas.
ས་སྟེང་འདི་དག་ཀོས་གཡོག་ཏུ།། དེ་སྙེད་ཀོ་བས་ག་ལ་ལང་།།	To cover all the earth with sheets of leather— Where could such amounts of skin be found?
ལྷམ་མཐིལ་ཙམ་གྱི་ཀོ་བས་ནི།། ས་སྟེང་ཐམས་ཅད་གཡོགས་དང་འདྲ།།	But with the leather soles of just my shoes It is as though I cover all the earth!
དེ་བཞིན་ཕྱི་རོལ་དངོས་པོ་ཡང་།། བདག་གིས་ཕྱིར་བཟློག་མི་ལང་གི།	And thus the outer course of things I myself cannot restrain.
བདག་གི་སེམས་འདི་ཕྱིར་བཟློག་བྱའི།། གཞན་རྣམས་བཟློག་གོ་ཅི་ཞིག་དགོས།།	But let me just restrain my mind, And what is left to be restrained?
སེམས་གསལ་གཅིག་བསྐྱེད་འབྲས་བུ་གང་།། ཚངས་ལ་སོགས་པ་ཡིན་པ་ལྟར།།	A clear intent can fructify And bring us birth in such as Brahmā’s realm.
ལུས་ངག་བཅས་པའི་འབྲས་བུ་ཡང་།། སྤྱོད་པ་ཞན་པས་དེ་ལྟ་མིན།།	The acts of body and of speech are less— They do not generate a like result.
བཟླས་བརྗོད་དང་ནི་དཀའ་ཐུབ་ཀུན།། ཡུན་རིང་དུས་སུ་སྤྱད་བྱས་ཀྱང་།། སེམས་གཞན་གཡེངས་པས་བྱས་པ་ནི།། དེ་ཉིད་རིག་པས་དོན་མེད་གསུངས།།	Recitations and austerities, Long though they may prove to be, If practiced with distracted mind, Are futile, so the Knower of Reality has said.
གང་གིས་ཆོས་ཀྱི་གཙོ་བོ་མཆོག། སེམས་ཀྱི་གསང་འདི་མ་ཤེས་ན།། བདེ་ཐོབ་སྡུག་བསྔལ་གཞོམ་འདོད་ཀྱང་།། དེ་དག་དོན་མེད་གྱི་ནར་འཁྱམས།།	All those who fail to understand The secret of the mind, the greatest of all things, Although they wish for joy and sorrow’s end, Will wander to no purpose, uselessly.
དེ་ལྟས་བདག་གི་སེམས་འདི་ནི།། ལེགས་བཟུང་ལེགས་པར་བསྲུང་བར་བྱ།།	Therefore I will take in hand And well protect this mind of mine.
སེམས་བསྲུང་བརྟུལ་ཞུགས་མ་གཏོགས་པ།། བརྟུལ་ཞུགས་མང་པོས་ཅི་ཞིག་བྱ།།	What use to me are many disciplines, If I can’t guard and discipline my mind?
མ་གྲངས་གྲོལ་བའི་ཁྲོད་གནས་ན།། བསྒྲིམས་ཏེ་རྨ་ཡི་བག་བྱེད་བཞིན།། སྐྱེ་བོ་ངན་ཁྲོད་གནས་པས་ཀྱང་།། སེམས་ཀྱི་རྨ་འདི་རྟག་ཏུ་བསྲུང་།།	When in wild, unruly crowds, I’m careful and attentive of my wounds; Likewise, when in evil company, This wound, my mind, I’ll constantly protect.
རྨ་ཡི་སྡུག་བསྔལ་ཆུང་ངུ་ཡིས།། སྐྲག་པའང་རྨ་ཡི་བག་བྱེད་ན།། བསྡུས་འཇོམས་རིས་འཇོམས་སྐྲག་པ་དག། སེམས་ཀྱི་རྨ་ལྟ་ཅི་མི་བསྲུང་།།	For if I carefully protect my wounds Because I fear the pain of minor injuries, Why should I not protect the wound that is my mind, For fear of being crushed beneath the cliffs of hell?
སྤྱོད་པ་འདི་འདྲས་གནས་བྱེད་ན།། སྐྱེ་བོ་ངན་པའི་ཁྲོད་གནས་སམ།། བུད་མེད་ཁྲོད་ན་གནས་ཀྱང་རུང་།།	If this is how I act and live, Then even in the midst of evil folk, Or even with fair women, all is well.
སྡོམ་བརྩོན་བརྟན་པ་ཉམས་མི་འགྱུར།།	My steady keeping of the vows will not decline.
བདག་གི་རྙེད་དང་བཀུར་སྟི་དང་།། ལུས་དང་འཚོ་བ་མེད་བླ་ཞིང་།།	My property, my honor—all can freely go, My body and my livelihood as well.
དགེ་བ་གཞན་ཡང་ཉམས་བླ་ཡི།། སེམས་ནི་ནམ་ཡང་ཉམས་མི་བྱ།།	And even other virtues may decline, But never will I let my mind regress.
སེམས་བསྲུང་འདོད་པ་རྣམས་ལ་ནི།། དྲན་པ་དང་ནི་ཤེས་བཞིན་དག། ཐམས་ཅད་འབད་པས་སྲུངས་ཤིག་ཅེས།། བདག་ནི་དེ་ལྟར་ཐལ་མོ་སྦྱར།།	All you who would protect your minds, Maintain your mindfulness and introspection; Guard them both, at cost of life and limb, I join my hands, beseeching you.
ནད་ཀྱིས་དཀྲུགས་པའི་མི་དག་ནི།། ལས་རྣམས་ཀུན་ལ་མཐུ་མེད་པ།།	Those disabled by ill health Are helpless, powerless to act.
དེ་བཞིན་རྨོངས་པས་སེམས་དཀྲུགས་པ།། ལས་རྣམས་ཀུན་ལ་མཐུ་མེད་དོ།།	The mind, when likewise cramped by ignorance, Is impotent and cannot do its work.
ཤེས་བཞིན་མེད་པའི་སེམས་ལྡན་པའི།། ཐོས་དང་བསམ་དང་སྒོམ་པ་ཡང་།། གློ་རྡོལ་བུམ་པའི་ཆུ་བཞིན་དུ།། དྲན་པ་ལ་ནི་དེ་མི་གནས།།	For those who have no introspection, Though they hear the teachings, ponder them, or meditate, Like water seeping from a leaking jar, Their learning will not settle in their memories.
ཐོས་ལྡན་དད་པ་ཅན་དང་ནི།། བརྩོན་པ་ལྷུར་ལེན་དུ་མ་ཡང་།། ཤེས་བཞིན་མེད་པའི་སྐྱོན་ཆགས་པས།། ལྟུང་བའི་རྙོག་དང་བཅས་པར་འགྱུར།།	They’re learned also and imbued with faith, But through the fault of lacking introspection, They will not escape the stain of sin and downfall.
ཤེས་བཞིན་མེད་པའི་ཆོམ་རྐུན་དག། དྲན་པ་ཉམས་པའི་རྗེས་འབྲང་བས།།	Lack of introspection is a thief; It slinks behind when mindfulness abates.
བསོད་ནམས་དག་ནི་ཉེར་བསགས་ཀྱང་།། རྐུན་པོས་འཕྲོགས་བཞིན་ངན་འགྲོར་འགྲོ།།	And all the merit we have gathered in It steals; and down we go to lower realms.
ཉོན་མོངས་ཆོམ་རྐུན་ཚོགས་འདི་ནི།། གླགས་སྐབས་འཚོལ་བར་བྱེད་པ་སྟེ།།	Defilements are a band of robbers Looking for their chance to injure us.
གླགས་རྙེད་གྱུར་ནས་དགེ་འཕྲོག་ཅིང་།། བདེ་འགྲོའི་སྲོག་ཀྱང་འཇོམས་པར་བྱེད།།	They steal our virtue, when their moment comes, And batter out the lives of happy destinies.
དེ་བས་དྲན་པ་ཡིད་སྒོ་ནས།། གུད་དུ་ནམ་ཡང་མི་གཏང་ངོ།།	Therefore from the gateway of my mind My mindfulness shall not have leave to stray.
སོང་ནའང་ངན་འགྲོའི་གནོད་པ་དག། དྲན་པར་བྱས་ཏེ་ཉེ་བར་བཞག།	And if it wanders, it shall be recalled By thoughts of anguish in the lower worlds.
བླ་མ་དང་ནི་འགྲོགས་པ་ལས།། མཁན་པོས་རྗེས་སུ་བསྟན་པ་དང་།། འཇིགས་པས་སྐལ་ལྡན་གུས་བྱེད་ལ།། དྲན་པ་བདེ་བླག་ཉིད་དུ་སྐྱེ།།	Through fear, and by the counsels of their abbots, And staying ever in their teacher’s company— In those endowed with fortune and devotion Mindfulness is cultivated easily. “
སངས་རྒྱས་བྱང་ཆུབ་སེམས་དཔའ་དག། ཀུན་ཏུ་ཐོགས་མེད་གཟིགས་པར་ལྡན།། དེ་དག་ཐམས་ཅད་སྤྱན་སྔ་ན།། རྟག་པར་བདག་ནི་གནས་སོ་ཞེས།།	The Buddhas and the Bodhisattvas both Possess unclouded vision, seeing everything: All lies open to their gaze, And likewise I am always in their presence.”
དེ་ལྟར་བསམས་ནས་ངོ་ཚ་དང་།། གུས་དང་འཇིགས་ལྡན་དེ་བཞིན་མནོས།།	One who has such thoughts as these Will gain devotion and a sense of fear and shame.
དེས་ནི་སངས་རྒྱས་རྗེས་དྲན་པ་འང་།། དེ་ལ་ཡང་དང་ཡང་དུ་འབྱུང་།།	For such a one, the memory of Buddha Rises frequently before the mind.
གང་ཚེ་དྲན་པ་ཡིད་སྒོ་ནས།། བསྲུང་བའི་དོན་དུ་གནས་གྱུར་པ།། དེ་ཚེ་ཤེས་བཞིན་འོང་འགྱུར་ཞིང་།། སོང་བ་དག་ཀྱང་ཕྱིར་འོང་འགྱུར།།	When mindfulness is stationed as a sentinel, A guard upon the threshold of the mind, Introspection will be likewise there, Returning when forgotten or dispersed.
རེ་ཞིག་དང་པོར་འདི་འདྲའི་སེམས།། འདི་ནི་སྐྱོན་བཅས་ཤེས་བྱས་ནས།། དེ་ཚེ་བདག་གིས་ཤིང་བཞིན་དུ།། ཟུངས་ཐུབ་པར་ནི་གནས་པར་བྱ།།	If at the outset, when I check my mind, I find that it is tainted with some fault, I shall be still and self-possessed, Unmoving like a piece of wood.
དོན་མེད་གཡེངས་པར་ལྟ་བ་ནི།། ནམ་ཡང་བདག་གིས་མི་བྱ་སྟེ།། ངེས་པར་སེམས་པས་རྟག་ཏུ་ནི།། མིག་ནི་ཕབ་སྟེ་བལྟ་བར་བྱ།།	I shall never, vacantly, Allow my gaze to wander all around, But rather with a focused mind Will always go with eyes cast down.
ལྟ་བ་ངལ་བསོའི་ཆེད་དུ་ནི།། རེས་འགའ་ཕྱོགས་སུ་བལྟ་བར་བྱ།།	But that I may relax my gaze, I’ll sometimes raise my eyes and look around.
འགའ་ཞིག་མིག་ལམ་སྣང་གྱུར་ན།། བལྟས་ནས་འོངས་པ་ལེགས་ཞེས་བརྗོད།།	And if there are some people standing in my sight, I’ll look at them and greet them with a friendly word.
ལམ་སོགས་འཇིགས་པ་བརྟག་པའི་ཕྱིར།། ཡང་དང་ཡང་དུ་ཕྱོགས་བཞིར་བལྟ།།	And yet, to spy the dangers on the road, I’ll scrutinize the four directions one by one.
ངལ་བསོ་ཁ་ནི་ཕྱིར་བལྟས་ནས།། རྒྱབ་ཀྱི་ཕྱོགས་སུ་བལྟ་བར་བྱ།།	And when I stop to rest, I’ll turn around And look behind me, back along my way.
མདུན་དང་རྒྱབ་ཏུ་བརྟགས་བྱས་ནས།། འགྲོ་འམ་ཡང་ན་འོང་བྱ་སྟེ།།	I will survey the land, in front, behind, And carry on or else retrace my steps.
དེ་ལྟར་གནས་སྐབས་ཐམས་ཅད་དུ།། དགོས་པ་ཤེས་ནས་སྤྱད་པར་བྱ།།	In every time and place therefore I’ll know my needs and act accordingly.
ལུས་ཀྱིས་འདི་ལྟར་གནས་བྱ་ཞེས།།	“My body shall remain like this.”
བྱ་བ་བསྡོགས་ནས་དེ་ནས་ནི།། སྐབས་སུ་ལུས་འདི་ཇི་ལྟ་བུར།། གནས་པ་ཡིན་ཞེས་བལྟ་བར་བྱ།།	Embarking thus upon a given course, From time to time I’ll verify Inquiring how my body is disposed.
སེམས་ཀྱི་གླང་ཆེན་མྱོས་པ་ནི།། ཆོས་ལ་སེམས་པའི་ཀ་ཆེན་ལ།། ཇི་ལྟར་བཏགས་པ་མི་འཆོར་བར།། དེ་ལྟར་འབད་པ་ཀུན་གྱིས་བརྟག།	This rampant elephant, my mind, Once tied to that great post, reflection on the Teachings, Must now be watched with all my strength That it might never slip away.
ཅི་ནས་ཏིང་འཛིན་བརྩོན་པ་ནི།། སྐད་ཅིག་གཅིག་ཀྱང་མི་འཆོར་བར།།	Those who strive to master concentration Should never for an instant be distracted.
བདག་གི་ཡིད་འདི་གར་སྤྱོད་ཅེས།། དེ་ལྟར་ཡིད་ལ་སོ་སོར་བརྟག།	They should always watch their minds, inquiring, “Where is now my mind engaged?”
འཇིགས་དང་དགའ་སྟོན་སོགས་འབྲེལ་བར།། གལ་ཏེ་མི་ནུས་ཅི་བདེར་བྱ།།	When this becomes impossible, In case of danger or festivity, I’ll act as it seems best.
འདི་ལྟར་སྦྱིན་པའི་དུས་དག་ཏུ།། ཚུལ་ཁྲིམས་བཏང་སྙོམས་བཞག་པར་གསུངས།། གང་ཞིག་བསམས་ཏེ་བྱར་བརྩམས་པ།། དེ་ལས་གཞན་དུ་མི་བསམས་ཏེ།།	For it is taught that rules of discipline May be relaxed in times of generosity. When something has been planned and started on, Attention should not drift to other things.
དེར་གཏད་པ་ཡི་བསམ་པ་ཡིས།། དེ་ཉིད་རེ་ཞིག་བསྒྲུབ་པར་བྱ།།	With thoughts fixed on the chosen target, That and that alone should be pursued.
དེ་ལྟ་ན་ནི་ཀུན་ལེགས་བྱས།། གཞན་དུ་གཉིས་ཀར་མི་འགྱུར་རོ།།	Behaving in this way, all tasks are well performed, And nothing is achieved by doing otherwise.
ཤེས་བཞིན་མ་ཡིན་ཉེ་ཉོན་མོངས།། དེ་ལྟ་ན་ནི་འཕེལ་མི་འགྱུར།།	If thus we act, the secondary defilement, Lack of introspection, will not grow.
བྲེ་མོའི་གཏམ་ནི་སྣ་ཚོགས་དང་།། ངོ་མཚར་ལྟད་མོ་རྣམ་མང་པོ།། ཀུན་ལ་འཇུག་པར་གྱུར་པ་ན།། དེ་ལ་ཆགས་པ་སྤང་བར་བྱ།།	And if you find yourself engaged In different kinds of pointless conversation And curious sights, the like of which abound— Be rid of all delight and taste for them.
དོན་མེད་ས་རྐོ་རྩྭ་གཅོད་དང་།། ས་རིས་འདྲི་སོགས་བྱེད་གྱུར་ན།། བདེ་གཤེགས་བསླབ་པ་དྲན་བྱས་ནས།།	And if you find you’re grubbing in the soil, Or pulling up the grass or tracing idle patterns on the ground, Remembering the precepts of the Blissful One, In fear, restrain yourself at once.
སྐྲག་པས་དེ་ཡི་མོད་ལ་དོར།། གང་ཚེ་བསྐྱོད་པར་འདོད་གྱུར་ཏམ།། སྨྲ་བར་འདོད་པར་གྱུར་ན་ཡང་།། དང་པོར་རང་གི་ཡིད་བརྟགས་ནས།།	And when you feel the wish to move about, Or even to express yourself in speech, First examine what is in your mind.
བརྟན་པས་རིགས་པ་ལྡན་པར་བྱ།།	For steadfast ones should act correctly.
གང་ཚེ་རང་ཡིད་ཆགས་པ་དང་།། ཁྲོ་བར་འདོད་པ་དེ་ཡི་ཚེ།།	When the urge arises in your mind To feelings of desire or angry hate, Do not act!
ལས་སུ་མི་བྱ་སྨྲ་མི་བྱ།།	Be silent, do not speak!
ཤིང་བཞིན་དུ་ནི་གནས་པར་བྱ།།	And like a log of wood be sure to stay.
རྒོད་དང་ག་ཞར་བཅས་པ་འམ།། གལ་ཏེ་ང་རྒྱལ་རྒྱགས་ལྡན་པའམ།། མཚང་འབྲུ་བ་ཡི་བསམ་པ་དང་།། གལ་ཏེ་སྐྱོར་འབྱིན་བསླུ་སེམས་སམ།། གང་ཚེ་བདག་བསྟོད་ལྷུར་ལེན་པ་འམ།། གཞན་ལ་སྨོད་པ་ཉིད་དང་ནི།། གཤེ་བཅས་འགྱེད་དང་བཅས་གྱུར་པ།། དེ་ཚེ་ཤིང་བཞིན་གནས་པར་བྱ།།	And when your mind is wild or filled with mockery, Or filled with pride and haughty arrogance, Or when you would expose another’s secret guilt, To bring up old dissensions or to act deceitfully, Or when you want to fish for praise, Or criticize and spoil another’s name, Or use harsh language, sparring for a fight, It’s then that like a log you should remain.
རྙེད་དང་བཀུར་སྟི་གྲགས་ལྡན་པའམ།། གཡོག་འཁོར་དོན་དུ་གཉེར་འདོད་པའམ།། བདག་སེམས་རིམ་གྲོ་འདོད་གྱུར་ན།། དེ་ཚེ་ཤིང་བཞིན་གནས་པར་བྱ།།	And when you yearn for wealth, attention, fame, A circle of retainers serving you, And when you look for honors, recognition, It’s then that like a log you should remain.
གཞན་དོན་ཡལ་བར་འདོར་བ་དང་།། རང་དོན་གཉེར་བར་འདོད་པ་དང་།། སྨྲ་བར་འདོད་པའི་སེམས་བྱུང་ན།། དེ་ཚེ་ཤིང་བཞིན་གནས་པར་བྱ།།	And when you are inclined to overlook another’s need And want to get the best thing for yourself, And when you feel the urge to speak, It’s then that like a log you should remain.
མི་བཟོད་ལེ་ལོའི་འཇིགས་པ་དང་།། དེ་བཞིན་སྤྱི་བརྟོལ་མུ་ཅོར་དང་།། རང་གི་ཕྱོགས་ཞེན་སེམས་བྱུང་ན།། དེ་ཚེ་ཤིང་བཞིན་གནས་པར་བྱ།།	Impatience, indolence, faintheartedness, And likewise arrogance and careless speech, Attachment to your side—when these arise, It’s then that like a log you should remain.
དེ་ལྟར་ཀུན་ནས་ཉོན་མོངས་དང་།།	Examine thus yourself from every side.
དོན་མེད་བརྩོན་པའི་སེམས་བརྟགས་ནས།།	Take note of your defilements and your pointless efforts.
དེ་ཚེ་དཔའ་བོས་གཉེན་པོ་ཡིས།། དེ་ནི་བརྟན་པོར་གཟུང་བར་བྱ།།	For thus the heroes on the Bodhisattva path Seize firmly on such faults with proper remedies.
ཤིན་ཏུ་ངེས་དང་རབ་དད་དང་།། བརྟན་དང་གུས་དང་ཞེ་སར་བཅས།། ངོ་ཚ་ཤེས་དང་འཇིགས་བཅས་དང་།། ཞི་ཞིང་གཞན་དགའ་བྱེད་ལ་བརྩོན།།	With perfect and unyielding faith, With steadfastness, respect, and courtesy, With conscientiousness and awe, Work calmly for the happiness of others.
ཕན་ཚུན་མི་མཐུན་བྱིས་པ་ཡི།། འདོད་པ་རྣམས་ཀྱིས་མི་སྐྱོ་ཞིང་།།	Let us not be downcast by the warring wants Of childish persons quarreling.
ཉོན་མོངས་སྐྱེས་པས་འདི་དག་གི།	Their thoughts are bred from conflict and emotion.
སེམས་འདི་བྱུང་སྙམ་བརྩེར་ལྡན་དང་།།	Let us understand and treat them lovingly.
ཁ་ན་མ་ཐོ་མེད་དངོས་ལ།། བདག་དང་སེམས་ཅན་དབང་བྱས་ཤིང་།། སྤྲུལ་པ་བཞིན་དུ་ང་མེད་པར།། ཡིད་འདི་རྟག་ཏུ་གཟུང་བར་བྱ།།	When acting irreproachably, For our sake or the sake of others, Let us always bear in mind the thought That we are self-less, like an apparition.
རིང་ཞིག་ལོན་ནས་དལ་བའི་མཆོག།ཐོབ་པ་ཡང་དང་ཡང་བསམས་ནས།།	This supreme freedom of a human life, So long awaited, now at last attained!
སེམས་དེ་ལྟ་བུ་རི་རབ་ལྟར།། རབ་ཏུ་མི་གཡོ་གཟུང་བར་བྱ།།	Reflecting always thus, maintain your mind As steady as Sumeru, king of mountains.
བྱ་རྒོད་ཤ་ལ་ཆགས་པ་ཡིས།། ཕན་ཚུན་ཀུན་ཏུ་བཤལ་ཁྲིད་ཀྱང་།། ཡིད་ཁྱོད་མི་དགར་མི་བྱེད་ན།། ད་ལྟ་ཅི་ཕྱིར་ཁ་ཏ་བྱེད།།	If, O mind, you will not be aggrieved, When vultures with their love of flesh Are tugging at this body all around, Why are you so besotted with it now?
ལུས་འདི་བདག་གིར་བཟུང་བྱས་ནས།། ཡིད་ཁྱོད་ཅི་ཕྱིར་སྲུང་བར་བྱེད།།	Why, O mind, do you protect this body, Taking it to be your own?
ཁྱོད་དང་འདི་གཉིས་སོ་སོ་ན།། དེས་ཀོ་ཁྱོད་ལ་ཅི་ཞིག་བྱ།།	You and it are each a separate entity; How ever can it be of use to you?
རྨོངས་པའི་ཡིད་ཁྱོད་ཅི་ཡི་ཕྱིར།། ཤིང་གཟུགས་གཙང་མ་གཟུང་མི་བྱེད།།	Why, O foolish mind, Don’t you appropriate a clean form carved in wood?
མི་གཙང་ཚོགས་ཀྱི་འཕྲུལ་འཁོར་འདི།། རུལ་པ་བསྲུངས་ཏེ་ཅི་ཞིག་རུང་།།	How is it fit to guard An unclean engine for the making of impurity?
ཐོག་མར་པགས་པའི་རིམ་པ་འདི།། རང་གི་བློ་ཡིས་ཐ་དད་ཕྱེ།། ཤ་ཡང་རུས་པའི་དྲྭ་བ་ལས།། ཤེས་རབ་མཚོན་གྱིས་གུད་དུ་ཕྱེ།།	First, with mind’s imagination, Shed the covering of skin, And with the blade of wisdom, strip The flesh from off the bony frame.
རུས་པ་རྣམས་ཀྱང་དབྱེ་བྱས་ནས།། རྐང་གི་བར་དུ་བལྟ་བྱ་ཞིང་།། འདི་ལ་སྙིང་པོ་ཅི་ཡོད་ཅེས།། བདག་ཉིད་ཀྱིས་ནི་བརྟག་པར་གྱིས།།	And when you have divided all the bones, And searched right down amid the very marrow, You yourself should ask the question: Where is the essential core?
དེ་ལྟར་འབད་དེ་བཙལ་ཀྱང་དེར།། ཁྱོད་ཀྱིས་སྙིང་པོ་མ་མཐོང་ན།། ད་དུང་ཅི་ཕྱིར་ཆགས་ཚུལ་གྱིས།། ཁྱོད་ནི་ལུས་འདི་སྲུང་བར་བྱེད།།	If, persisting in the search, You see no underlying essence, Why do you protect with such desire The body that you now possess?
ཁྱོད་ཀྱིས་མི་གཙང་བཟར་མི་རུང་།། ཁྲག་ཀྱང་བཏུང་དུ་མི་རུང་ལ།། རྒྱུ་ལྟོའང་གཞིབ་ཏུ་མི་རུང་ན།། ལུས་ཀྱིས་ཁྱོད་ལ་ཅི་ཞིག་བྱ།།	Its filth you cannot eat, O mind; Its blood likewise is not for you to drink; Its innards, too, unsuitable to suck— This body, what then will you make of it?
ཉིས་ན་ཝ་དང་བྱ་རྒོད་ཀྱི།། ཟས་ཀྱི་དོན་དུ་འདི་བསྲུང་རིགས།།	And yet it may indeed be kept As food to feed the vulture and the fox.
མི་འོ་ཅོག་གི་ལུས་འདི་ནི།། བཀོལ་བར་བྱ་བ་ཉིད་དུ་ཟད།།	The value of this human form Lies only in the use you make of it.
འདི་ལྟར་ཁྱོད་ཀྱིས་བསྲུངས་ཀྱང་ནི།། འཆི་བདག་བརྩེ་བ་མེད་པ་ཡིས།། འཕྲོག་སྟེ་བྱ་དང་ཁྱིར་བྱིན་ན།། དེ་ཚེ་ཁྱོད་ཀྱིས་ཅི་བྱར་ཡོད།།	Whatever you may do to guard and keep it, What will you do when The ruthless Lord of Death Will seize and throw it to the dogs and birds?
བྲན་གཡོག་བཀོལ་དུ་མི་བཏུབ་ལའང་།། གོས་ལ་སོགས་པ་མི་སྦྱིན་ན།། ལུས་འདི་བསྙོད་ཀྱང་གཞན་འགྲོ་ན།། ཁྱོད་ཀོ་ཅི་སྟེ་ཤ་ཐང་གསོ།།	If servants who cannot be set to work Are not rewarded with supplies and clothing, Why do you sustain with such great pains This body, which, though nourished, will abandon you?
འདི་ལ་གླ་རྔན་བྱིན་ནས་ནི།། ད་ནི་རང་གི་དོན་བྱེད་ཆུག།	So pay this body due remuneration, And then be sure to make it work for you.
ཕན་པ་མེད་པར་འདི་ལ་ནི།། ཐམས་ཅད་སྦྱིན་པར་མི་བྱ་འོ།།	But do not lavish everything On what will not bring perfect benefit.
འགྲོ་དང་འོང་བའི་རྟེན་ཙམ་དུ།། ལུས་ལ་གྲུ་ཡི་བློ་བཞག་སྟེ།།	Regard your body as a vessel, A simple boat for going here and there.
སེམས་ཅན་རྣམས་དོན་བསྒྲུབ་པའི་ཕྱིར།། ཡིད་བཞིན་གྱི་ནི་ལུས་སུ་བསྒྱུར།།	Make of it a thing that answers every wish To bring about the benefit of beings.
དེ་ལྟར་རང་དབང་ཡོད་གྱིས་ཏེ།། རྟག་ཏུ་འཛུམ་པའི་བཞིན་དུ་གྱིས།།	Be the master of yourself And have an ever-smiling countenance.
ཁྲོ་གཉེར་ངོ་ཟུམ་ཡོངས་ཐོངས་ཏེ།། འགྲོ་བའི་བཤེས་དང་གསོང་པོར་གྱིས།།	Rid yourself of scowling, wrathful frowns, And be a true and honest friend to all.
ཁྲི་ལ་སོགས་པ་བབ་ཅོལ་དུ།། སྒྲ་དང་བཅས་པར་མི་དོར་རོ།།	Do not, acting inconsiderately, Move chairs and furniture so noisily around.
སྒོ་ཡང་དྲག་ཏུ་མི་དབྱེ་སྟེ།།	Likewise do not open doors with violence.
རྟག་ཏུ་གཅོམ་སྐྱུང་དགའ་བར་བྱ།།	Take pleasure in the practice of humility.
ཆུ་སྐྱར་བྱི་ལ་ཆོམ་རྐུན་དག། སྒྲ་མེད་འཇབ་ཅིང་འགྲོ་བ་ཡིས།། མངོན་པར་འདོད་པའི་དོན་སྒྲུབ་པ།།	Herons, cats, and burglars Achieve what they intend By going silently and unobserved.
ཐུབ་པས་རྟག་ཏུ་དེ་བཞིན་སྤྱད།།	Such is the constant practice of a sage.
གཞན་ལ་གཞེན་སྐུལ་འདེབས་མཁས་ཤིང་།། མ་བཅོལ་ཕན་པར་བྱེད་པའི་ངག། གུས་པས་སྤྱི་བོར་བླང་གྱིས་ཏེ།། རྟག་ཏུ་ཀུན་གྱི་སློབ་མར་གྱུར།།	When useful admonitions come unsought From those with skill in counseling their fellows, Welcome them with humble gratitude, And always strive to learn from everyone.
ལེགས་པར་སྨྲས་པ་ཐམས་ཅད་ལ།།	Praise all whose speech is worthy.
དགེ་བར་གསུངས་ཞེས་བརྗོད་པར་བྱ།།	Say, “Your words are excellent!”
བསོད་ནམས་བྱེད་པ་མཐོང་གྱུར་ན།། བསྟོད་པས་ལེགས་པར་དགའ་བ་བསྐྱེད།།	And when you notice others acting well, Encourage them in terms of warm approval.
ལྐོག་ན་ཡོན་ཏན་བརྗོད་བྱ་ཞིང་།། ཡོན་ཏན་བརྗོད་ན་རྗེས་སུ་བརྗོད།།	Extol their qualities discreetly; When they’re praised by others, praise them too.
རང་གི་ཡོན་ཏན་བརྗོད་ན་དེ།། ཡོན་ཏན་ཤེས་པར་རིག་པར་བྱ།།	But when the qualities they praise are yours, Reflect upon their skill in recognizing qualities.
རྩོམ་པ་ཐམས་ཅད་དགའ་ཕྱིར་ཏེ།། དེ་ནི་རིན་གྱིས་ཉོ་ནའང་དཀོན།།	The goal of every act is happiness itself, Though, even with great wealth, it’s rarely found.
དེ་ལྟས་གཞན་བྱས་ཡོན་ཏན་གྱིས།།	So take your pleasure in the excellence of others.
དགའ་བའི་བདེ་བ་སྤྱད་པར་བྱ།།	Let them be a heartfelt joy to you.
བདག་ལ་འདིར་གོད་ཡོང་མེད་ལ།། ཕ་རོལ་ཏུ་ཡང་བདེ་བ་ཆེ།།	By acting thus, in this life you’ll lose nothing; In future lives, great bliss will come to you.
ཉེས་པས་མི་དགའ་སྡུག་བསྔལ་ཞིང་།། ཕ་རོལ་ཏུ་ཡང་སྡུག་བསྔལ་ཆེ།།	Wrongdoing brings not joy but pain, And in the future dreadful torment.
སྨྲ་ན་ཡིད་ཕེབས་འབྲེལ་བ་དང་།། དོན་གསལ་ཡིད་དུ་འོང་བ་དང་།།	Speak coherently, appropriately, Clear in meaning, pleasantly.
ཆགས་དང་ཞེ་སྡང་སྤངས་པ་དང་།། འཇམ་ཞིང་རན་པར་སྨྲ་བར་བྱ།།	Rid yourself of craving and aversion; Speak gently with moderation.
མིག་གིས་སེམས་ཅན་ལྟ་ན་ཡང་།། འདི་དག་ཉིད་ལ་བརྟེན་ནས་བདག། སངས་རྒྱས་ཉིད་དུ་འགྱུར་རོ་ཞེས།།	When you look at others think That it will be through them That you will come to Buddhahood.
དྲང་ཞིང་བྱམས་པའི་ཚུལ་གྱིས་བལྟ།། རྟག་པར་མངོན་ཞེན་གྱིས་བསླངས་པའམ།། གཉེན་པོ་ཡིས་ནི་བསླངས་པ་ཉིད།།	So look on them with frank and loving hearts.Always fired by highest aspiration, Laboring to implement the antidotes,
ཡོན་ཏན་དང་ནི་ཕན་འདོགས་ཞིང་།། སྡུག་བསྔལ་བ་ལ་དགེ་ཆེན་འགྱུར།།	You will reap great virtues in the field of excellence And in the fields of benefits and sorrow.
