Line	Tibetan	Sanskrit
117	ལུས་དང་དེ་བཞིན་ལོངས་སྤྱོད་དང་། །དུས་གསུམ་དགེ་བ་ཐམས་ཅད་ཀྱང་། །སེམས་ཅན་ཀུན་གྱི་དོན་སྒྲུབ་ཕྱིར། །ཕོངས་པ་མེད་པར་གཏང་བར་བྱ། །	आत्मभावांस्तथा भोगान् सर्वत्र्यध्वगतं शुभम्। निरपेक्षस्त्यजाम्येष सर्वसत्त्वार्थसिद्धये॥१०॥
118	ཐམས་ཅད་བཏང་བས་མྱ་ངན་འདའ། །བདག་བློ་མྱ་ངན་འདས་པ་སྒྲུབ། །ཐམས་ཅད་གཏོང་བར་ཆབས་གཅིག་ལ། །སེམས་ཅན་རྣམས་ལ་བཏང་བ་མཆོག །	सर्वत्यागश्च निर्वाणं निर्वाणार्थि च मे मनः। त्यक्तव्यं चेन्मया सर्वं वरं सत्त्वेषु दीयताम्॥११॥
119	བདག་གིས་ལུས་ཅན་ཐམས་ཅད་ལ། །ལུས་འདི་ཅི་བདེར་བྱིན་ཟིན་གྱིས། །རྟག་ཏུ་གསོད་དང་སྨོད་པའམ། །བརྡེག་སོགས་ཅི་དགར་བྱེད་ལ་རག །	यश्चासुखीकृतश्चात्मा मयायं सर्वदेहिनाम्। घ्नन्तु निन्दन्तु वा नित्यमाकिरन्तु च पांसुभिः॥१२॥
120	བདག་གི་ལུས་ལ་རྩེ་བྱེད་དམ། །ཅོ་འདྲི་ག་ཞའི་རྒྱུ་བྱེད་ཀྱང་། །བདག་གི་ལུས་འདི་བྱིན་ཟིན་གྱིས། །འདི་ཡི་ཁ་ཏས་ཅི་ཞིག་བྱ། །	क्रीडन्तु मम कायेन हसन्तु विलसन्तु च। दत्तस्तेभ्यो मया कायश्चिन्तया किं ममानया॥१३॥
121	དེ་ལ་གནོད་པར་མི་འགྱུར་བའི། །ལས་གང་ཡིན་པའང་བྱེད་དུ་ཆུག །བདག་ལ་དམིགས་ནས་ནམ་དུ་ཡང་། །འགའ་ཡང་དོན་མེད་མ་གྱུར་ཅིག །	कारयन्तु च कर्माणि यानि तेषां सुखावहम्। अनर्थः कस्यचिन्मा भून्मामालम्ब्य कदाचन॥१४॥
122	བདག་ལ་དམིགས་ནས་གང་དག་གི །ཁྲོའམ་དད་པའི་སེམས་བྱུང་ན། །དེ་ཉིད་རྟག་ཏུ་དེ་དག་གི །དོན་ཀུན་འགྲུབ་པའི་རྒྱུར་གྱུར་ཅིག །	येषां क्रुद्धाप्रसन्ना वा मामालम्ब्य मतिर्भवेत्। तेषां स एव हेतुः स्यान्नित्यं सर्वार्थसिद्धये॥१५॥
123	གང་དག་བདག་ལ་ཁ་ཟེར་རམ། །གཞན་དག་གནོད་པ་བྱེད་པའམ། །དེ་བཞིན་ཕྱར་ཀ་གཏོང་ཡང་རུང་། །ཐམས་ཅད་བྱང་ཆུབ་སྐལ་ལྡན་གྱུར། །	अभ्याख्यास्यन्ति मां ये च ये चान्येऽप्यपकारिणः। उत्प्रासकास्तथान्येऽपि सर्वे स्युर्बोधिभागिनः॥१६॥
124	བདག་ནི་མགོན་མེད་རྣམས་ཀྱི་མགོན། །ལམ་ཞུགས་རྣམས་ཀྱི་དེད་དཔོན་དང་། །བརྒལ་འདོད་རྣམས་ཀྱི་གྲུ་དང་ནི། །གཟིངས་དང་ཟམ་པ་ཉིད་དུ་གྱུར། །	अनाथानामहं नाथः सार्थवाहश्च यायिनाम्। पारेप्सूनां च नौभूतः सेतुः संक्रम एव च॥१७॥
125	གླིང་དོན་གཉེར་ལ་གླིང་དང་ནི། །གནས་མལ་འདོད་ལ་གནས་མལ་དང་། །བདག་ནི་ལུས་ཅན་བྲན་འདོད་པ། །ཀུན་གྱི་བྲན་དུ་འགྱུར་བར་ཤོག །	दीपार्थिनामहं दीपः शय्या शय्यार्थिनामहम्। दासार्थिनामहं दासो भवेयं सर्वदेहिनाम्॥१८॥
126	ཡིད་བཞིན་ནོར་དང་བུམ་པ་བཟང་། །རིག་སྔགས་གྲུབ་དང་སྨན་ཆེན་དང་། །དཔག་བསམ་གྱི་ནི་ཤིང་དག་དང་། །ལུས་ཅན་རྣམས་ཀྱི་འདོད་འཇོར་གྱུར། །	चिन्तामणिर्भद्रघटः सिद्धविद्या महौषधिः। भवेयं कल्पवृक्षश्च कामधेनुश्च देहिनाम्॥१९॥
127	ས་སོགས་འབྱུང་བ་ཆེན་པོ་དང་། །ནམ་མཁའ་བཞིན་དུ་རྟག་པར་ཡང་། །སེམས་ཅན་དཔག་ཏུ་མེད་པ་ཡི། །རྣམ་མང་ཉེར་འཚོའི་གཞིར་ཡང་ཤོག །	पृथिव्यादीनि भूतानि निःशेषाकाशवासिनाम्। सत्त्वानामप्रमेयाणां यथाभोगान्यनेकधा॥२०॥
128	དེ་བཞིན་ནམ་མཁའི་མཐས་གཏུགས་པའི། །སེམས་ཅན་ཁམས་ལ་རྣམ་ཀུན་ཏུ། །ཐམས་ཅད་མྱ་ངན་འདས་བར་དུ། །བདག་ནི་ཉེར་འཚོའི་རྒྱུར་ཡང་ཤོག །	एवमाकाशनिष्ठस्य सत्त्वधातोरनेकधा। भवेयमुपजीव्योऽहं यावत्सर्वे न निर्वृताः॥२१॥
129	ཇི་ལྟར་སྔོན་གྱི་བདེ་གཤེགས་ཀྱིས། །བྱང་ཆུབ་ཐུགས་ནི་བསྐྱེད་པ་དང་། །བྱང་ཆུབ་སེམས་དཔའི་བསླབ་པ་ལ། །དེ་དག་རིམ་བཞིན་གནས་པ་ལྟར། །	यथा गृहीतं सुगतैर्बोधिचित्तं पुरातनैः। ते बोधिसत्त्वशिक्षायामानुपूर्व्या यथा स्थिताः॥२२॥
130	དེ་བཞིན་འགྲོ་ལ་ཕན་དོན་དུ། བྱང་ཆུབ་སེམས་ནི་བསྐྱེད་བགྱི་ཞིང་། །དེ་བཞིན་དུ་ནི་བསླབ་པ་ལའང་། །རིམ་པ་བཞིན་དུ་བསླབ་པར་བགྱི། །	तद्वदुत्पादयाम्येष बोधिचित्तं जगद्धिते। तद्वदेव च ताः शिक्षाः शिक्षिष्यामि यथाक्रमम्॥२३॥
131	དེ་ལྟར་བློ་དང་ལྡན་པ་ཡིས། །རབ་དང་བྱང་ཆུབ་སེམས་བཟུང་ནས། །མཇུག་ཀྱང་རྒྱས་པར་བྱ་བའི་ཕྱིར། །སེམས་ནི་འདི་ལྟར་གཟེངས་བསྟོད་དོ། །	एवं गृहीत्वा मतिमान् बोधिचित्तं प्रसादतः। पुनः पृष्टस्य पुष्ट्यर्थं चित्तमेवं प्रहर्षयेत्॥२४॥
132	དེང་དུ་བདག་ཚེ་འབྲས་བུ་ཡོད། །མི་ཡི་སྲིད་པ་ལེགས་པར་ཐོབ། །དེ་རིང་སངས་རྒྱས་རིགས་སུ་སྐྱེས། །སངས་རྒྱས་སྲས་སུ་བདག་དེང་གྱུར། །	अद्य मे सफलं जन्म सुलब्धो मानुषो भवः। अद्य बुद्धकुले जातो बुद्धपुत्रोऽस्मि सांप्रतम्॥२५॥
133	ད་ནི་བདག་གིས་ཅི་ནས་ཀྱང་། །རིགས་དང་མཐུན་པའི་ལས་བརྩམས་ཏེ། །སྐྱོན་མེད་བཙུན་པའི་རིགས་འདི་ལ། །རྙོག་པར་མི་འགྱུར་དེ་ལྟར་བྱ། །	तथाधुना मया कार्यं स्वकुलोचितकारिणाम्। निर्मलस्य कुलस्यास्य कलङ्को न भवेद्यथा॥२६॥
134	ལོང་བས་ཕྱག་དར་ཕུང་པོ་ལས། །ཇི་ལྟར་རིན་ཆེན་རྙེད་པ་ལྟར། །དེ་བཞིན་ཇི་ཞིག་ལྟར་སྟེས་ནས། །བྱང་ཆུབ་སེམས་འདི་བདག་ལ་སྐྱེས། །	अन्धः संकारकूटेभ्यो यथा रत्नमवाप्नुयात्। तथा कथंचिदप्येतद् बोधिचित्तं ममोदितम्॥२७॥
135	འགྲོ་བའི་འཆི་བདག་འཇོམས་བྱེད་པའི། །བདུད་རྩི་མཆོག་ཀྱང་འདི་ཡིན་ནོ། །འགྲོ་བའི་དབུལ་བ་སེལ་བ་ཡི། །མི་ཟད་གཏེར་ཡང་འདི་ཡིན་ནོ། །	जगन्मृत्युविनाशाय जातमेतद्रसायनम्। जगद्दारिद्र्यशमनं निधानमिदमक्षयम्॥२८॥
136	འགྲོ་བའི་ནད་རབ་ཞི་བྱེད་པའི། །སྨན་གྱི་མཆོག་ཀྱང་འདི་ཡིན་ནོ། །སྲིད་ལམ་འཁྱམ་ཞིང་དུབ་པ་ཡི། །འགྲོ་བའི་ངལ་སོ་ལྗོན་ཤིང་ཡིན། །	जगद्व्याधिप्रशमनं भैषज्यमिदमुत्तमम्। भवाध्वभ्रमणश्रान्तजगद्विश्रामपादपः॥२९॥
137	འགྲོ་བ་ཐམས་ཅད་ངན་འགྲོ་ལས། །སྒྲོལ་བར་བྱེད་པའི་སྤྱི་སྟེགས་ཡིན། །འགྲོ་བའི་ཉོན་མོངས་གདུང་སེལ་བའི། །སེམས་ཀྱི་ཟླ་བ་ཤར་བ་ཡིན། །	दुर्गत्युत्तरणे सेतुः सामान्यः सर्वयायिनाम्। जगत्क्लेशोपशमन उदितश्चित्तचन्द्रमाः॥३०॥
138	འགྲོ་བའི་མི་ཤེས་རབ་རིབ་དག །དཔྱིས་འབྱིན་ཉི་མ་ཆེན་པོ་ཡིན། །དམ་ཆོས་འོ་མ་བསྲུབས་པ་ལས། །མར་གྱི་ཉིང་ཁུ་བྱུང་བ་ཡིན། །	जगदज्ञानतिमिरप्रोत्सारणमहारविः। सद्धर्मक्षीरमथनान्नवनीतं समुत्थितम्॥३१॥
139	འགྲོ་བའི་མགྲོན་པོ་སྲིད་པའི་ལམ་རྒྱུ་ཞིང་། །བདེ་བའི་ལོངས་སྤྱོད་སྤྱད་པར་འདོད་པ་ལ། །འདི་ནི་བདེ་བའི་མཆོག་ཏུ་ཉེར་གནས་ཏེ། །སེམས་ཅན་མགྲོན་ཆེན་ཚིམ་པར་བྱེད་པ་ཡིན། །	सुखभोगबुभुक्षितस्य वा जनसार्थस्य भवाध्वचारिणः। सुखसत्रमिदं ह्युपस्थितं सकलाभ्यागतसत्त्वतर्पणम्॥३२॥
140	བདག་གིས་དེ་རིང་སྐྱོབ་པ་ཐམས་ཅད་ཀྱི། །སྤྱན་སྔར་འགྲོ་བ་བདེ་གཤེགས་ཉིད་དང་ནི། །བར་དུ་བདེ་ལ་མགྲོན་དུ་བོས་ཟིན་གྱིས། །ལྷ་དང་ལྷ་མིན་ལ་སོགས་དགའ་བར་གྱིས། །	जगदद्य निमन्त्रितं मया सुगतत्वेन सुखेन चान्तरा। पुरतः खलु सर्वतायिनामभिनन्दन्तु सुरासुरादयः॥३३॥
141	བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ལས། བྱང་ཆུབ་ཀྱི་སེམས་ཡོངས་སུ་བཟུང་བ་ཞེས་བྱ་བ་སྟེ་ལེའུ་གསུམ་པའོ།། །།	इति बोधिचित्तपरिग्रहो नाम तृतीयः परिच्छेदः॥
142	རྒྱལ་བའི་སྲས་ཀྱིས་དེ་ལྟ་བུར། །བྱང་ཆུབ་སེམས་རབ་བརྟན་བཟུང་ནས། །གཡེལ་བ་མེད་པར་རྟག་ཏུ་ཡང་། །བསླབ་ལས་མི་འདའ་འབད་པར་བྱ། །	एवं गृहीत्वा सुदृढं बोधिचित्तं जिनात्मजः। शिक्षानतिक्रमे यत्नं कुर्यान्नित्यमतन्द्रितः॥१॥
143	བབ་ཅོལ་བརྩམས་པ་གང་ཡིན་པའམ། །གང་ཞིག་ལེགས་པར་མ་བརྟགས་པ། །དེ་ནི་དམ་བཅས་བྱས་གྱུར་ཀྱང་། །བྱའམ་བཏང་ཞེས་བརྟགས་པའི་རིགས། །	सहसा यत्समारब्धं सम्यग् यदविचारितम्। तत्र कुर्यान्न वेत्येवं प्रतिज्ञायापि युज्यते॥२॥
144	སངས་རྒྱས་རྣམས་དང་དེ་ཡི་སྲས། །ཤེས་རབ་ཆེན་པོས་གང་བརྟགས་ཤིང་། །བདག་ཉིད་ཀྱིས་ཀྱང་བརྟག་བརྟགས་པ། །དེ་ལ་བཤོལ་དུ་ཅི་ཞིག་ཡོད། །	विचारितं तु यद्बुद्धैर्महाप्राज्ञैश्च तत्सुतैः। मयापि च यथाशक्ति तत्र किं परिलम्ब्यते॥३॥
145	གལ་ཏེ་དེ་ལྟར་དམ་བཅས་ནས། །ལས་ཀྱིས་བསྒྲུབ་པ་མ་བྱས་ན། །སེམས་ཅན་དེ་དག་ཀུན་བསླུས་པས། །བདག་གི་འགྲོ་བ་ཅི་འདྲར་འགྱུར། །	यदि चैवं प्रतिज्ञाय साधयेयं न कर्मणा। एतां सर्वां विसंवाद्य का गतिर्मे भविष्यति॥४॥
146	དངོས་པོ་ཕལ་པ་ཅུང་ཟད་ལའང་། །ཡིད་ཀྱིས་སྦྱིན་པར་བསམ་བྱས་ནས། །མི་གང་སྦྱིན་པར་མི་བྱེད་པ། །དེ་ཡང་ཡི་དྭགས་འགྱུར་གསུངས་ན། །	मनसा चिन्तयित्वापि यो न दद्यात्पुनर्नरः। स प्रेतो भवतीत्युक्तमल्पमात्रेऽपि वस्तुनि॥५॥
147	བླ་ན་མེད་པའི་བདེ་བ་ལ། །བསམ་པ་ཐག་པས་མགྲོན་གཉེར་ནས། །འགྲོ་བ་ཐམས་ཅད་བསླུ་བྱས་ན། །བདེ་འགྲོར་ཇི་ག་འགྲོ་འགྱུར་རམ། །	किमुतानुत्तरं सौख्यमुच्चैरुद्धुष्य भावतः। जगत्सर्वं विसंवाद्य का गतिर्मे भविष्यति॥६॥
148	མི་གང་བྱང་ཆུབ་སེམས་བཏང་ཡང་། །དེ་དག་ཐར་བར་བྱེད་པ་ནི། །ལས་ཚུལ་བསམ་གྱིས་མི་ཁྱབ་སྟེ། །ཐམས་ཅད་མཁྱེན་པ་ཁོ་ནས་མཁྱེན། །	वेत्ति सर्वज्ञ एवैतामचिन्त्यां कर्मणो गतिम्। यद्बोधिचित्तत्यागेऽपि मोचयत्येवं तां नरान्॥७॥
149	དེ་ནི་བྱང་ཆུབ་སེམས་དཔའ་ལ། །ལྟུང་བའི་ནང་ན་ལྕི་བ་སྟེ། །འདི་ལྟར་དེ་ནི་བྱུང་གྱུར་ན། །སེམས་ཅན་ཀུན་གྱི་དོན་ལ་དམན། །	बोधिसत्त्वस्य तेनैवं सर्वापत्तिर्गरीयसी। यस्मादापद्यमानोऽसौ सर्वसत्त्वार्थहानिकृत्॥८॥
150	གང་གཞན་སྐད་ཅིག་ཙམ་ཡང་འདིའི། །བསོད་ནམས་བར་ཆད་གེགས་བྱེད་པ། །སེམས་ཅན་དོན་ལ་དམན་གྱུར་པས། །དེ་ཡི་ངན་འགྲོ་མུ་མཐའ་མེད། །	योऽप्यन्यः क्षणमप्यस्य पुण्यविघ्नं करिष्यति। तस्य दुर्गतिपर्यन्तो नास्ति सत्त्वार्थघातिनः॥९॥
151	སེམས་ཅན་གཅིག་གི་བདེ་བ་ཡང་། །བཤིག་ན་བདག་ཉིད་ཉམས་འགྱུར་ན། །ནམ་མཁའ་མ་ལུས་མཐའ་ཀླས་པའི། །ལུས་ཅན་བདེ་བཤིག་སྨོས་ཅི་དགོས། །	एकस्यापि हि सत्त्वस्य हितं हत्वा हतो भवेत्। अशेषाकाशपर्यन्तवासिनां किमु देहिनाम्॥१०॥
152	དེ་ལྟར་ལྟུང་བ་སྟོབས་ལྡན་དང་། །བྱང་ཆུབ་སེམས་སྟོབས་ལྡན་པ་དག །འཁོར་བར་རེས་ཀྱིས་འདྲེ་བྱེད་ན། །ས་ཐོབ་པ་ལ་ཡུན་རིང་ཐོགས། །	एवमापत्तिबलतो बोधिचित्तबलेन च। दोलायमानः संसारे भूमिप्राप्तौ चिरायते॥११
153	དེ་ལྟས་ཇི་ལྟར་དམ་བཅས་བཞིན། །བདག་གིས་གུས་པར་བསྒྲུབ་པར་བྱ། །དེང་ནས་བརྩོན་པར་མ་བྱས་ན། །འོག་ནས་འོག་ཏུ་འགྲོ་བར་འགྱུར། །	तस्माद्यथाप्रतिज्ञातं साधनीयं मयादरात्। नाद्य चेत्क्रियते यत्नस्तलेनास्मि तलं गतः॥१२॥
154	སེམས་ཅན་ཐམས་ཅད་ཕན་མཛད་པའི། །སངས་རྒྱས་གྲངས་མེད་འདས་གྱུར་ཀྱང་། །བདག་ནི་རང་གི་ཉེས་པས་དེའི། །གསོ་བའི་སྤྱོད་ཡུལ་མ་གྱུར་ཏོ། །	अप्रमेया गता बुद्धाः सर्वसत्त्वगवेषकाः। नैषामहं स्वदोषेण चिकित्सागोचरं गतः॥१३
155	ད་དུང་དེ་བཞིན་བདག་བྱེད་ན། །ཡང་དང་ཡང་དུའང་དེ་བཞིན་ཏེ། །ངན་འགྲོར་ནད་དང་འཆིང་བ་དང་། །བཅད་དང་གཤེག་སོགས་མྱོང་བར་འགྱུར། །	अद्यापि चेत्तथैव स्यां यथैवाहं पुनः पुनः। दुर्गतिव्याधिमरणच्छेदभेदाद्यवाप्नुयाम्॥१४॥
156	དེ་བཞིན་གཤེགས་པ་འབྱུང་བ་དང་། །དད་དང་མི་ལུས་ཐོབ་པ་དང་། །དགེ་གོམས་རུང་བ་དེ་ལྟ་བུ། །དཀོན་ན་ནམ་ཞིག་ཐོབ་པར་འགྱུར། །	कदा तथागतोत्पादं श्रद्धां मानुष्यमेव च। कुशलाभ्यासयोग्यत्वमेवं लप्स्येऽतिदुर्लभम्॥१५॥
157	ནད་མེད་ཉི་མ་འདི་ལྟ་བུ། །ཟས་བཅས་འཚེ་བ་མེད་ཀྱང་ནི། །ཚེ་ནི་སྐད་ཅིག་བསླུ་བ་སྟེ། །ལུས་ནི་ཐང་ཅིག་བརྙན་པོ་བཞིན། །	आरोग्यं दिवसं चेदं सभक्तं निरुपद्रवम्। आयुःक्षणं विसंवादि कायोपाचितकोपमः॥१६॥
158	བདག་གི་སྤྱོད་པ་འདི་འདྲས་ནི། །མི་ཡི་ལུས་ཀྱང་འཐོབ་མི་འགྱུར། །མི་ལུས་ཐོབ་པར་མ་གྱུར་ན། །སྡིག་པ་འབའ་ཞིག་དགེ་བ་མེད། །	न हीदृशैर्मच्चरितैर्मानुष्यं लभ्यते पुनः। अलभ्यमाने मानुष्ये पापमेव कुतः शुभम्॥१७॥
159	གང་ཚེ་དགེ་སྤྱད་སྐལ་ལྡན་ཡང་། །དགེ་བ་བདག་གིས་མ་བྱས་ན། །ངན་སོང་སྡུག་བསྔལ་ཀུན་རྨོངས་པ། །དེ་ཚེ་བདག་གིས་ཅི་བྱར་ཡོད། །	यदा कुशलयोग्योऽपि कुशलं न करोम्यहम्। अपायदुःखैः संमूढः किं करिष्याम्यहं तदा॥१८॥
160	དགེ་བ་དག་ཀྱང་མ་བྱས་ལ། །སྡིག་པ་དག་ཀྱང་ཉེར་བསགས་ན། །བསྐལ་པ་བྱེ་བ་བརྒྱར་ཡང་ནི། །བདེ་འགྲོའི་སྒྲ་ཡང་ཐོས་མི་འགྱུར། །	अकुर्वतश्च कुशलं पापं चाप्युपचिन्वतः। हतः सुगतिशब्दोऽपि कल्पकोटिशतैरपि॥१९॥
161	དེ་ཉིད་ཕྱིར་ན་བཅོམ་ལྡན་གྱིས། །རྒྱ་མཚོ་ཆེར་གཡེངས་གཉའ་ཤིང་གི །བུ་གར་རུས་སྦལ་མགྲིན་ཆུད་ལྟར། །མི་ཉིད་ཤིན་ཏུ་ཐོབ་དཀར་གསུངས། །	अत एवाह भगवान्-मानुष्यमतिदुर्लभम्। महार्णवयुगच्छिद्रकूर्मग्रीवार्पणोपमम्॥२०॥
162	སྐད་ཅིག་གཅིག་བྱས་སྡིག་པས་ཀྱང་། །བསྐལ་པར་མནར་མེད་གནས་འགྱུར་ན། །ཐོག་མེད་འཁོར་བར་བསགས་སྡིག་གིས། །བདེ་འགྲོར་མི་འགྲོ་སྨོས་ཅི་དགོས། །	एकक्षणकृतात् पापादवीचौ कल्पमास्यते। अनादिकालोपचितात् पापात् का सुगतौ कथा॥२१॥
163	དེ་ཙམ་ཁོ་ན་མྱོང་གྱུར་ནས། །དེ་ནི་རྣམ་ཐར་མི་འགྱུར་ཏེ། །འདི་ལྟར་དེ་ནི་མྱོང་བཞིན་དུ། །སྡིག་པ་གཞན་དག་རབ་ཏུ་སྐྱེ། །	न च तन्मात्रमेवासौ वेदयित्वा विमुच्यते। तस्मात्तद्वेदयन्नेव पापमन्यत् प्रसूयते॥२२॥
164	འདི་འདྲའི་དལ་བ་རྙེད་གྱུར་ནས། །བདག་གིས་དགེ་གོམས་མ་བྱས་ན། །འདི་ལས་བསླུས་པ་གཞན་མེད་དེ། །འདི་ལས་རྨོངས་པའང་གཞན་མེད་དོ། །	नातः परा वञ्चनास्ति न च मोहोऽस्त्यतः परः। यदीदृशं क्षणं प्राप्य नाभ्यस्तं कुशलं मया॥२३॥
165	གལ་ཏེ་བདག་གིས་དེ་རྟོགས་ནས། །རྨོངས་པས་ཕྱིས་ཀྱང་སྒྱིད་ལུག་ན། །འཆི་བར་འགྱུར་བའི་དུས་ཀྱི་ཚེ། །མྱ་ངན་ཆེན་པོ་ལྡང་བར་འགྱུར། །	यदि चैवं विमृष्यामि पुनः सीदामि मोहितः। शोचिष्यामि चिरं भूयो यमदूतैः प्रचोदितः॥२४॥
166	དམྱལ་མེ་བཟོད་དཀས་དུས་རིང་དུ། །བདག་གི་ལུས་ལ་བསྲེགས་གྱུར་ན། །འགྱོད་པ་མི་བཟད་མེ་འབར་བས། །སེམས་གདུང་འགྱུར་བ་གདོན་མི་ཟ། །	चिरं धक्ष्यति मे कायं नारकाग्निः सुदुःसहः। पश्चात्तापानलश्चित्तं चिरं धक्ष्यत्यशिक्षितम्॥२५॥
167	ཤིན་ཏུ་རྙེད་དཀའ་ཕན་པའི་ས། །ཇི་ཞིག་ལྟར་སྟེས་རྙེད་གྱུར་ནས། །བདག་ཉིད་ཤེས་དང་ལྡན་བཞིན་དུ། །ཕྱིར་ཡང་དམྱལ་བ་དེར་ཁྲིད་ན། །	कथंचिदपि संप्राप्तो हितभूमिं सुदुर्लभाम्। जानन्नपि च नीयेऽहं तानेव नरकान् पुनः॥२६॥
168	སྔགས་ཀྱིས་རྨོངས་པར་བྱས་པ་བཞིན། །བདག་ལ་འདིར་སེམས་མེད་དུ་ཟད། །ཅིས་རྨོངས་བདག་ཀྱང་མ་ཤེས་ཏེ། །བདག་གི་ཁོང་ན་ཅི་ཞིག་ཡོད། །	अत्र मे चेतना नास्ति मन्त्रैरिव विमोहितः। न जाने केन मुह्यामि कोऽत्रान्तर्मम तिष्ठति॥२७॥
169	ཞེ་སྡང་སྲེད་སོགས་དགྲ་རྣམས་ནི། །རྐང་ལག་ལ་སོགས་ཡོད་མིན་ལ། །དཔའ་མཛངས་མིན་ཡང་ཇི་ཞིག་ལྟར། །དེ་དག་གིས་བདག་བྲན་བཞིན་བྱས། །	हस्तपादादिरहितास्तृष्णाद्वेषादिशत्रवः। न शूरा न च ते प्राज्ञाः कथं दासीकृतोऽस्मि तैः॥२८॥
170	བདག་གི་སེམས་ལ་གནས་བཞིན་དུ། །དགའ་མགུར་བདག་ལ་གནོད་བྱེད་པ། །དེ་ལའང་མི་ཁྲོ་བཟོད་པ་ནི། །གནས་མིན་བཟོད་པ་སྨད་པའི་གནས། །	मच्चित्तावस्थिता एव घ्नन्ति मामेव सुस्थिताः। तत्राप्यहं न कुप्यामि धिगस्थानसहिष्णुताम्॥२९॥
171	གལ་ཏེ་ལྷ་དང་ལྷ་མིན་རྣམས། །ཐམས་ཅད་བདག་ལ་དགྲར་ལངས་ཀྱང་། །དེ་དག་གིས་ཀྱང་མནར་མེད་པའི། །མེ་ནང་ཁྲིད་ཅིང་འཇུག་མི་ནུས། །	सर्वे देवा मनुष्याश्च यदि स्युर्मम शत्रवः। तेऽपि नावीचिकं वह्निं समुदानयितुं क्षमाः॥३०॥
172	ཉོན་མོངས་སྟོབས་ཅན་དགྲ་འདིས་ནི། །གང་དང་ཕྲད་ན་རི་རབ་ཀྱང་། །ཐལ་བ་ཡང་ནི་མི་ལུས་པ། །དེར་བདག་སྐད་ཅིག་གཅིག་ལ་འདོར། །	मेरोरपि यदासङ्गान्न भस्माप्युपलभ्यते। क्षणात् क्षिपन्ति मां तत्र बलिनः क्लेशशत्रवः॥३१॥
173	བདག་གི་ཉོན་མོངས་དགྲ་བོ་གང་། །དུས་རིང་ཐོག་མཐའ་མེད་པ་ལྟར། །དགྲ་གཞན་ཀུན་ཀྱང་དེ་ལྟ་བུར། །ཡུན་རིང་ཐུབ་པ་མ་ཡིན་ནོ། །	न हि सर्वान्यशत्रूणां दीर्घमायुरपीदृशम्। अनाद्यन्तं महादीर्घं यन्मम क्लेशवैरिणाम्॥३२॥
174	མཐུན་པར་རིམ་གྲོ་བསྟེན་བྱས་ན། །ཐམས་ཅད་ཕན་དང་བདེ་བྱེད་ན། །ཉོན་མོངས་རྣམས་ནི་བསྟེན་བྱས་ན། །ཕྱིར་ཞིང་སྡུག་བསྔལ་གནོད་པ་བྱེད། །	सर्वे हिताय कल्पन्ते आनुकूल्येन सेविताः। सेव्यमानास्त्वमी क्लेशाः सुतरां दुःखकारकाः॥३३॥
175	དེ་ལྟར་ཡུན་རིང་རྒྱུན་ཆགས་དགྲར་གྱུར་པ། །གནོད་པའི་ཚོགས་རབ་འཕེལ་བའི་རྒྱུ་གཅིག་པུ། །བདག་གི་སྙིང་ལ་ངེས་པར་གནས་འཆའ་ན། །འཁོར་བར་འཇིགས་མེད་དགའ་བར་ག་ལ་འགྱུར། །	इति संततदीर्घवैरिषु व्यसनौघप्रसवैकहेतुषु। हृदये निवसत्सु निर्भयं मम संसाररतिः कथं भवेत्॥३४॥
176	འཁོར་བའི་བཅོན་རའི་སྲུང་མས་དམྱལ་སོགས་སུ། །གསོད་བྱེད་གཤེད་མར་གྱུར་པ་འདི་དག་ནི། །གལ་ཏེ་བློ་གནས་ཆགས་པའི་དྲ་བ་ན། །གནས་ན་བདག་ལ་བདེ་བ་ག་ལ་ཡོད། །	भवचारकपालका इमे नरकादिष्वपि वध्यघातकाः। मतिवेश्मनि लोभपञ्जरे यदि तिष्ठन्ति कुतः सुखं मम॥३५॥
177	དེ་ལྟར་ཇི་སྲིད་བདག་གིས་དགྲ་འདི་མངོན་སུམ་དུ། །ངེས་པར་མ་བཅོམ་དེ་སྲིད་བདག་འདིར་བརྩོན་མི་འདོར། །རེ་ཞིག་གནོད་བྱེད་ཆུང་ངུ་ལ་ཡང་ཁྲོས་གྱུར་པ། །ང་རྒྱལ་བདོ་རྣམས་དེ་མ་བཅོམ་པར་གཉིད་མི་འོང་། །	तस्मान्न तावदहमत्र धुरं क्षिपामि यावन्न शत्रव इमे निहताः समक्षम्। स्वल्पेऽपि तावदपकारिणि बद्धरोषा मानोन्नतास्तमनिहत्य न यान्ति निद्राम्॥३६॥
178	རང་བཞིན་འཆི་བས་སྡུག་བསྔལ་གྱུར་པའི་ཉོན་མོངས་དག །གཡུལ་ངོར་དངར་ཚེ་ནན་གྱིས་གཞོམ་པར་འདོད་པ་ཡང་། །མདའ་མདུང་མཚོན་གྱིས་ཕོག་པའི་སྡུག་བསྔལ་ཁྱད་བསད་ནས། །དོན་མ་གྲུབ་པར་ཕྱིར་ཕྱོགས་འབྱེར་བར་མི་བྱེད་ན། །	प्रकृतिमरणदुःखितान्धकारान्। रणशिरसि प्रसभं निहन्तुमुग्राः। अगणितशरशक्तिघातदुःखा न विमुखतामुपयान्त्यसाधयित्वा॥३७॥
