Root,Commentary
དེ་ཕྱིར་སེམས་ཅན་ཞིང་དང་ནི། །རྒྱལ་བའི་ཞིང་ཞེས་ཐུབ་པས་གསུངས། །འདི་དག་མགུ་བྱས་མང་པོ་ཞིག །འདི་ལྟར་ཕུན་སུམ་ཕ་རོལ་ཕྱིན། །,དེའི་ཕྱིར་སེམས་ཅན་ལ་ཡང་བསོད་ནམས་ཀྱི་སྒྲས་བརྗོད་དེ། དེ་བསོད་ནམས་ཀྱི་ཚོགས་ཀྱི་རྒྱུ་ཡིན་པའི་ཕྱིར་རོ། །ཕུན་སུམ་ཚོགས་པའི་ཕ་རོལ་ནི་སངས་རྒྱས་ཉིད་དོ། །
སེམས་ཅན་རྣམས་དང་རྒྱལ་བ་ལས། །སངས་རྒྱས་ཆོས་འགྲུབ་འདྲ་བ་ལ། །རྒྱལ་ལ་གུས་བྱ་དེ་བཞིན་དུ། །སེམས་ཅན་ལ་མིན་ཅི་ཡི་ཚུལ། །,གཞན་ཡང་སེམས་ཅན་རྣམས་དང་ཞེས་བྱ་བ་ལ་སོགས་པ་ལ། སངས་རྒྱས་ཀྱི་ཆོས་ནི་མི་འཇིགས་པ་ལ་སོགས་པའོ། །སྒྲུབ་པ་ནི་དེ་སྒྲུབ་པར་བྱེད་པའོ། །ཚུལ་ནི་རིམ་པའོ། །
བསམ་པའི་ཡོན་ཏན་རང་གིས་མིན། །འབྲས་བུ་ལས་ཡིན་དེས་མཚུངས་པར། །སེམས་ཅན་རྣམས་ལའང་ཡོན་ཏན་ཡོད། །དེ་ཕྱིར་དེ་དག་མཉམ་པ་ཡིན། །,ཅི་སྟེ་བསམ་པའི་ཡོན་ཏན་གྱིས་བཅོམ་ལྡན་འདས་ཆེ་བ་མ་ཡིན་ནམ་ཞེས་དོགས་པ་ལ། བསམ་པའི་ཞེས་སྨོས་ཏེ། རང་ལས་ཞེས་པ་ནི་རང་ཡོད་པ་ཙམ་ལས་སོ། །དེས་ཞེས་པ་ནི་འབྲས་བུ་སྟེ། སངས་རྒྱས་ཀྱི་ཆོས་སྒྲུབ་པར་མཚུངས་པའི་རྒྱུ་དེས་ན་སེམས་ཅན་དེ་དག་རྒྱལ་བ་དང་མཉམ་པ་ཉིད་ཡིན་ནོ། །
བྱམས་སེམས་ལྡན་ལ་མཆོད་པ་གང་། །དེ་ནི་སེམས་ཅན་ཆེ་བ་ཉིད། །སངས་རྒྱས་དད་པའི་བསོད་ནམས་གང་། །དེ་ཡང་སངས་རྒྱས་ཆེ་བ་ཉིད། །,འདིའི་ཕྱིར་ཡང་སེམས་ཅན་དང་སངས་རྒྱས་དག་ཆེ་བ་མཉམ་པའོ་ཞེས་བསྟན་པའི་ཕྱིར། བྱམས་སེམས་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ། སེམས་ཅན་མེད་པར་བྱམས་པ་གང་ལ་སྲིད། །དེའི་ཕྱིར་མཆོད་པ་བྱ་བར་རིགས་པ་ཉིད་དོ། །
སངས་རྒྱས་ཆོས་འགྲུབ་ཆ་ཡོད་པ། །དེས་ན་དེ་དག་མཉམ་པར་འདོད། །ཡོན་ཏན་རྒྱ་མཚོ་མཐའ་ཡས་པའི། །སངས་རྒྱས་རྣམས་དང་འགའ་མི་མཉམ། །,དེའི་ཕྱིར་སངས་རྒྱས་ཀྱི་ཆོས་ཐོབ་པར་བྱེད་པའི་ཆ་ནས་སེམས་ཅན་དང་། རྒྱལ་བ་མཉམ་པ་ཉིད་དོ། །ཡོན་ཏན་རྒྱ་མཚོ་ནི་སྟོབས་ལ་སོགས་པའོ། །ཡོན་ཏན་གྱི་ཕུང་པོ་དེ་དག་མཚོན་པའོ། །མཐའ་ཡས་པ་ནི་མུ་མེད་པའོ། །དེ་ལྟར་རྒྱུ་དེའི་སྒོ་ནས་འགའ་སྟེ་སེམས་ཅན་རྣམས་དང་མི་མཉམ་མོ། །
ཡོན་ཏན་མཆོག་ཚོགས་གཅིག་པུ་ཡི། །ཡོན་ཏན་ཤས་ཙམ་འགའ་ཞིག་ལ། །སྣང་ནའང་དེ་ལ་མཆོད་དོན་དུ། །ཁམས་གསུམ་ཕུལ་ཡང་ཆུང་བར་འགྱུར། །,ཡོན་ཏན་གྱི་ཆེ་བ་ཉིད་བསྟན་པའི་ཕྱིར། ཡོན་ཏན་ཞེས་སྨོས་ཏེ། གང་སངས་རྒྱས་རྣམས་ཀྱི་ཡོན་ཏན་གྱི་མཆོག་གི་ཚོགས་ཕུང་པོ་གཅིག་ཏུ་བྱས་པའོ། །ཤས་ཙམ་ནི་ཕྱོགས་གཅིག་གོ། །འགའ་ཞིག་ལ་སྟེ་སེམས་ཅན་འགའ་ཞིག་ལའོ། །དེ་ལ་ཞེས་པ་ནི་ཡོན་ཏན་ཕྲ་མོའི་གཞིར་གྱུར་པའི་སེམས་ཅན་ལའོ། །ཁམས་གསུམ་སྟེ་ཁམས་གསུམ་དུ་སྐྱེས་པའི་རིན་པོ་ཆེ་ལ་སོགས་པ་རྣམས་ཕུལ་ཡང་ཆུང་བའོ། །
སངས་རྒྱས་ཆོས་མཆོག་སྐྱེ་བའི་ཤས། །སེམས་ཅན་རྣམས་ལ་ཡོད་པས་ན། །འདི་ཙམ་ངག་གིས་ཆ་བསྟུན་ནས། །སེམས་ཅན་མཆོད་བྱར་རིགས་པར་འགྱུར། །,ཇི་ལྟར་ན་སེམས་ཅན་རྣམས་བསྟེན་པས་ན་སངས་རྒྱས་རྣམས་ལ་མཆོད་པ་བྱས་པ་ཡིན་སྙམ་པ་ལ། སངས་རྒྱས་ཞེས་སྨོས་ཏེ། འདི་ཙམ་ཆ་ཞེས་པ་ནི་སངས་རྒྱས་ཀྱི་ཆོས་སྒྲུབ་པའི་ཆའོ། །ཆ་བསྟུན་ནས་ཏེ། དེ་འདྲ་བར་བྱས་ནས་སོ། །དེས་ན་སངས་རྒྱས་ལ་མཆོད་པ་བྱས་པར་འགྱུར་རོ། །ཡང་ན་རྒྱལ་ལ་ནི་གུས་བྱ།དེ་བཞིན་དུ་སེམས་ཅན་ལ་མིན་ཞེས་པས་སེམས་ཅན་ལ་མཆོད་པ་བྱ་བར་བརྗོད་པ་འདི་དག་ཙམ་དང་ཆ་བསྟུན་ནས་མཆོད་པར་བྱ་བའི་རིགས་པར་འགྱུར་རོ། །
གཞན་ཡང་གཡོ་མེད་གཉེན་གྱུར་ཅིང་། །ཕན་པ་དཔག་མེད་མཛད་རྣམས་ལ། །སེམས་ཅན་མགུ་བྱ་མ་གཏོགས་པར། །གཞན་གང་ཞིག་གིས་ལན་ལོན་འགྱུར། །,གཞན་ཡང་ཞེས་བྱ་བ་ལ་སོགས་པ་ལ་གཡོ་ནི་སླུ་བའོ། །གང་དག་སེམས་ཅན་དཔག་ཏུ་མེད་པ་ལ་ཕན་པར་མཛད་པ་རྣམས་སོ། །ལན་ལྡོན་ཞེས་པ་ནི་བྱས་པ་ལ་དྲིན་ལན་ལྡོན་པའོ། །
གང་ཕྱིར་སྐུ་གཏོང་མནར་མེད་འཇུག་པ་ལ། །དེ་ལ་ཕན་བཏགས་ལན་ལོན་འགྱུར་བས་ན། །དེ་བས་འདི་དག་གནོད་ཆེན་བྱེད་ན་ཡང་། །ཐམས་ཅད་བཟང་དགུ་ཞིག་ཏུ་སྤྱད་པར་བྱ། །,དེ་ལ་སྟེ་སེམས་ཅན་རྣམས་ལའོ། །ཕན་པ་ནི་ཟད་པར་བྱེད་པའི་དོན་རྣམས་སོ། །ལན་ནི་སླར་གྱི་ལན་ནོ། །ལྡོན་པར་འགྱུར་བ་ནི་ཕྱིར་ཕན་པར་བྱེད་པའོ། །ཐམས་ཅད་བཟང་དགུ་ནི་དགེ་བ་རྣམ་པ་སྣ་ཚོགས་སོ། །
རེ་ཞིག་བདག་གི་རྗེར་གྱུར་ཉིད་ཀྱང་ནི། །གང་ཕྱིར་རང་གི་སྐུ་ལའང་མི་གཟིགས་པ། །དེ་ལ་རྨོངས་པ་བདག་གིས་ཇི་ལྟར་ན། །ང་རྒྱལ་བྱ་ཞིང་བྲན་གྱི་དངོས་མི་བྱ། །,རྗེར་གྱུར་ནི་སངས་རྒྱས་ལ་སོགས་པའོ། །གང་གི་ཕྱིར་ཏེ་སེམས་ཅན་གྱི་ཕྱིར་རོ། །དེ་ལ་སྟེ། རྗེར་གྱུར་པའི་སངས་རྒྱས་ཀྱི་སྲས་པོ་དེ་རྣམས་ལའོ། །ང་རྒྱལ་ཇི་ལྟར་བྱ་སྟེ། བྲན་དུ་བྱ་བའོ། །
གང་དག་བདེ་བས་ཐུབ་རྣམས་དགྱེས་འགྱུར་ཞིང་། །གང་ལ་གནོད་ན་མི་དགྱེས་འབྱུང་འགྱུར་བ། །དེ་དག་དགའ་བས་ཐུབ་པ་ཀུན་དགྱེས་ཤིང་། །དེ་ལ་གནོད་བྱས་ཐུབ་ལ་གནོད་པ་བྱས། །,གང་དག་སྟེ། སེམས་ཅན་རྣམས་སོ། །དགྱེས་པ་ནི་མཉེས་པའོ། །མི་དགྱེས་པ་ནི་སྐྱོ་བར་འགྱུར་བའོ། །དེ་དག་སྟེ་སེམས་ཅན་དེ་དག་དགའ་བས་སོ། །དེ་ལ་སྟེ་སེམས་ཅན་རྣམས་ལའོ། །གནོད་པ་ནི་རྣམ་པར་གཙེས་པའོ། །
ཇི་ལྟར་ལུས་ལ་ཀུན་ནས་མེ་འབར་བ། །འདོད་པ་ཀུན་གྱིས་ཡིད་བདེར་མི་འགྱུར་བ། །དེ་བཞིན་སེམས་ཅན་གནོད་པ་བྱས་ན་ཡང་། །ཐུགས་རྗེ་ཆེ་རྣམས་དགྱེས་པའི་ཐབས་མེད་དོ། །,རབ་ཏུ་སྐྱོ་བ་ཉིད་དཔེ་དང་བཅས་ཏེ་བསྟན་པའི་ཕྱིར། ཇི་ལྟར་ལུས་ལ་ཞེས་སྨོས་ཏེ། མེ་རབ་ཏུ་འབར་བས་ས་ཕྱོགས་ཀུན་མ་ལུས་པ་བསྲེག་པར་འགྱུར་བའོ། །
དེ་བས་བདག་གིས་འགྲོ་ལ་གནོད་བྱས་པས། །ཐུགས་རྗེ་ཆེ་ཀུན་མི་དགྱེས་གྱུར་པ་གང་། །སྡིག་དེ་དེ་རིང་སོ་སོར་བཤགས་བགྱི་ཡིས། །མི་དགྱེས་གང་ལགས་དེ་ཐུབ་བཟོད་པར་གསོལ། །,གནོད་པ་ནི་གནོད་པར་འགྱུར་བ་སྟེ། སྨད་པ་ལ་སོགས་པས་གནོད་པར་འགྱུར་བའོ། །བྱས་པ་ཞེས་ནི་བསྐྱེད་པའོ། །མི་དགྱེས་པ་ནི་ཐུགས་སྐྱོ་བར་འགྱུར་བའོ། །བཟོད་པར་གསོལ་བ་ནི་གང་སེམས་ཅན་རྣམས་ལ་གནོད་པར་འགྱུར་བས་གནོད་པར་བྱས་པ་རྣམས་སོ། །
དེ་བཞིན་གཤེགས་རྣམས་དགྱེས་པར་བགྱི་སླད་དུ། །དེང་ནས་བཟུང་ནས་འཇིག་རྟེན་བྲན་དུ་མཆི། །འགྲོ་མང་རྡོག་པས་བདག་གི་སྤྱིར་འཚོག་གམ། །འགུམས་ཀྱང་མི་བསྡོ་འཇིག་རྟེན་མགོན་དགྱེས་མཛོད། །,བྲན་ནི་བྲན་གྱི་དངོས་པོར་རོ། །མཆི་ཞེས་པ་ནི་བགྱིའོ་ཞེས་པའོ། །འགྲོ་བ་ནི་འཇིག་རྟེན་པའི་འོ། །བདག་གིས་ཞེས་པ་ནི་ཚིག་གི་ལྷག་མའོ། །
འགྲོ་བ་འདི་ཀུན་ཐུགས་རྗེའི་བདག་ཅན་དེས། །བདག་ཏུ་མཛད་པ་འདི་ལ་ཐེ་ཚོམ་མེད། །སེམས་ཅན་ངོ་བོར་མཐོང་བ་འདི་དག་ཉིད། །མགོན་དེ་བདག་ཉིད་ཅི་ཕྱིར་གུས་མི་བྱེད། །,གཞན་ཡང་སེམས་ཅན་རྣམས་ལ་མི་གུས་པར་མི་བྱའོ་ཞེས་བསྟན་པའི་ཕྱིར། ཐུགས་རྗེའི་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ། བདག་དང་གཞན་དུ་མཉམ་པ་ལ་སོགས་པས་འགྲོ་བ་རྣམས་བདག་ཏུ་མཛད་པས་ན་སངས་རྒྱས་ཉིད་སེམས་ཅན་གྱི་གཟུགས་སུ་སྣང་བ་ཡིན་ན། གང་གི་ཕྱིར་གུས་པར་མི་བྱེད་པ་འདི་ཉིད་དོ། །སེམས་ཅན་རྗེས་སུ་བསྟན་པའོ། །
འདི་ཉིད་དེ་བཞིན་གཤགས་པ་མཉེས་བྱེད་ཡིན། །རང་དོན་ཡང་དག་སྒྲུབ་པའང་འདི་ཉིད་དོ། །འཇིག་རྟེན་སྡུག་བསྔལ་སེལ་བའང་འདི་ཉིད་དེ། །དེ་ལྟས་བདག་གིས་རྟག་ཏུ་དེ་ཉིད་བྱ། །,མཉེས་པར་བྱེད། རངས་པར་བྱེད་པའོ། །རང་དོན་ནི་སངས་རྒྱས་སོ། །སྡུག་བསྔལ་ནི་ཉོན་མོངས་པའོ། །རྟག་ཏུ་ནི་ངེས་པར་རོ། །
དཔེར་ན་རྒྱལ་པོའི་མི་འགའ་ཞིག །སྐྱེ་བོ་མང་ལ་གནོད་བྱེད་ཀྱང་། །སྐྱེ་བོ་མིག་རྒྱང་རིང་པོ་དག །ནུས་ཀྱང་ཕྱིར་གནོད་མི་བྱེད་དེ། །,མ་འོངས་པས་འཇིགས་པའི་སྒོ་ནས་ཀྱང་གཞན་ལ་གནོད་པར་བྱེད་པ་ལ་རྒྱབ་ཀྱིས་ཕྱོགས་པར་བྱའོ་ཞེས་བསྟན་པའི་ཕྱིར། དཔེར་ན་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ། གནོད་པར་བྱེད་པ་ནི་འཚེ་བར་བྱེད་པའོ། །མིག་རྒྱང་རིང་བ་ནི་མ་འོངས་པའི་དུས་ལ་བལྟ་བའོ། །ནུས་ཀྱང་སྟེ་སྟོབས་ཀྱིས་ཐུབ་ཀྱང་ངོ་། །ཕྱིར་གནོད་མི་བྱེད་པ་ནི་ཚིག་ཙམ་གྱིས་ཀྱང་མི་དགའ་བའི་ཚུལ་སྟོན་པར་མི་ནུས་པའོ། །
འདི་ལྟར་དེ་གཅིག་མ་ཡིན་གྱི། །རྒྱལ་པོའི་མཐུ་སྟོབས་དེ་ཡི་མཐུ། །དེ་བཞིན་གནོད་བྱེད་ཉམ་ཆུང་བ། །འགའ་ཡང་ཁྱད་དུ་གསད་མི་བྱ། །,ཉམ་ཆུང་བ་ནི་ནུས་པ་དང་བྲལ་བའོ། །ཁྱད་དུ་མི་གསོད་པ་ནི་སྔན་ཆན་མི་བྱ་བའོ། །
འདི་ལྟར་དམྱལ་བའི་སྲུང་མ་དང་། །ཐུགས་རྗེ་ལྡན་རྣམས་དེ་ཡི་དཔུང་། །དེ་ལྟར་དམངས་ཀྱིས་རྒྱལ་གཏུམ་བཞིན། །སེམས་ཅན་རྣམས་ནི་མགུ་བར་བྱ། །,ཐུགས་རྗེ་དང་ལྡན་པ་ནི་སངས་རྒྱས་ལ་སོགས་པའོ། །རྒྱལ་པོ་གཏུམ་པོ་ལ་སོགས་པས་ལྷག་པར་ཆད་པའི་ལས་དང་རྗེས་སུ་གནང་བ་ཐོབ་པ་བསྟན་པའི་ཕྱིར། ཇི་ལྟར་དམངས་ཀྱིས་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་སོ། །སེམས་ཅན་མཉེས་པར་བྱས་པའི་འབྲས་བུ་བསྟན་པའི་ཕྱིར། སེམས་ཅན་མགུ་ལས་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ། སེམས་ཅན་མཉེས་པར་བྱ་བ་འདི་ཉིད་འདི་དག་འབྱུང་བའི་གནས་སོ། །
རྒྱལ་པོ་ལྟ་ཞིག་ཁྲོས་ན་ཡང་། །སེམས་ཅན་མི་མགུ་བྱས་པ་ཡིས། །མྱོང་བར་འགྱུར་བ་གང་ཡིན་པ། །དམྱལ་བའི་གནོད་པ་དེས་བྱེད་དམ། །,
རྒྱལ་པོ་ལྟ་ཞིག་མགུ་ན་ཡང་། །སེམས་ཅན་མགུ་བར་བྱས་པ་ཡིས། །འཐོབ་པར་འགྱུར་བ་གང་ཡིན་པ། །སངས་རྒྱས་ཉིད་སྦྱིན་མི་སྲིད་དོ། །,
སེམས་ཅན་མགུ་ལས་བྱུང་བ་ཡི། །མ་འོངས་སངས་རྒྱས་འགྲུབ་ལྟ་ཞོག །ཚེ་འདི་ཉིད་ལ་དཔལ་ཆེན་དང་། །གྲགས་དང་སྐྱེད་འགྱུར་ཅིས་མ་མཐོང་། །,དཔལ་ཆེ་བ་ནི་ཕུན་སུམ་ཚོགས་པའོ། །སྐྱིད་པ་ནི་སེམས་སྐྱིད་པའོ། །
འཁོར་ཚེ་བཟོད་པས་མཛེས་སོགས་དང་། །ནད་མེད་པ་དང་གྲགས་པ་ཡིས། །ཤིན་ཏུ་ཡུན་རིང་འཚོ་བ་དང་། །འཁོར་ལོས་སྒྱུར་བའི་བདེ་རྒྱས་ཐོབ། །,འཁོར་ཚེ་ཞེས་བྱ་བས་ནི་སྐྱེ་བ་གཞན་དང་གཞན་དུ་ཡང་དཔལ་ལ་སོགས་པ་ཐོབ་པར་འགྱུར་བའོ། །
དེ་ལྟར་བཟོད་པས་བརྩོན་འགྲུས་བརྩམ། །འདི་ལྟར་བརྩོན་ལ་བྱང་ཆུབ་གནས། །རླུང་མེད་གཡོ་བ་མེད་པ་བཞིན། །བསོད་ནམས་བརྩོན་འགྲུས་མེད་མི་འབྱུང་། །,དེ་ལྟར་བཟོད་པ་བསྟན་ནས། བརྩོན་འགྲུས་བསྟན་པའི་ཕྱིར། དེ་ལྟར་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ། འདི་ལ་བཟོད་པ་ཡོད་པས་ན་བཟོད་པ་ཞེས་བྱའོ། །
བརྩོན་གང་དགེ་ལ་སྤྲོ་བའོ། །དེ་ཡི་མི་མཐུན་ཕྱོགས་བཤད་བྱ། །ལེ་ལོ་ངན་ལ་ཞེན་པ་དང་། །སྒྱིད་ལུག་བདག་ཉིད་བརྙས་པའོ། །,བརྩོན་འགྲུས་ཀྱི་མི་མཐུན་པའི་ཕྱོགས་བསྟན་པའི་ཕྱིར། ལེ་ལོ་ཞེས་སྨོས་ཏེ། ལེ་ལོ་ནི་ཕྱི་ཤོལ་ལོ། །ངན་ལ་ཞེན་པ་ནི་རྒོད་པ་ལ་སོགས་པ་ལ་ཞེན་པའོ། །སྒྱིད་ལུག་པ་ནི་ཡི་བསད་པའོ། །བསྡུས་པ་ནི་དེ་དག་རྣམས་ཀྱིས་བདག་ཉིད་བརྙས་པའོ། །
སྙོམ་ལས་བདེ་བའི་རོ་མྱང་དང་། །གཉིད་ལ་བརྟེན་པའི་སྲེད་པ་ཡིས། །འཁོར་བའི་སྡུག་བསྔལ་མི་སྐྱོ་ལས། །ལེ་ལོ་ཉེ་བར་སྐྱེ་བར་འགྱུར། །,ལེ་ལོའི་རྒྱུ་བསྟན་པའི་ཕྱིར། མི་རྩོལ་བ་དང་ཞེས་སྨོས་ཏེ། མི་རྩོལ་བ་ཉིད་བདེ་བ་སྟེ། དེའི་རོ་ཉམས་སུ་ལེན་པའོ། །དེ་ལ་ནི་གཉིད་དང་བློ་བརྟེན་པའི་སྲེད་པ་ནི་སྙེས་པའོ། །
ཉོན་མོངས་རྒྱ་བས་བཤོར་ནས་ནི། །སྐྱེ་བའི་རྒྱར་ནི་ཆུད་གྱུར་ནས། །འཆི་བདག་ཁར་ནི་སོང་གྱུར་པ། །ཅི་སྟེ་ད་དུང་མི་ཤེས་སམ། །,ལེ་ལོ་གཏོང་བའི་ཐབས་བསྟན་པའི་ཕྱིར། ཉོན་མོངས་པ་ཞེས་སྨོས་ཏེ། ཉོན་མོངས་པ་ཉིད་རྒྱ་སྟེ་ཉ་བ་ལ་སོགས་པའོ། །རྒྱ་ནི་འདྲའོ། །དེས་བཤོར་ཏེ་མི་བཟུང་ནས་མི་གཏོང་ངོ་། །སྐྱེ་བ་ཉིད་སྐྱེ་བའི་རྒྱའོ། །
རང་སྡེ་རིམ་གྱིས་གསོད་པ་ཡང་། །ཁྱོད་ཀྱིས་མཐོང་བར་མ་གྱུར་ཏམ། །འོན་ཀྱང་གཉིད་ལ་བརྟེན་པ་གང་། །གདོལ་པ་དང་ནི་མ་ཧེ་བཞིན། །,རང་སྡེ་ནི་རང་དང་རིགས་མཐུན་པའི་སྲིད་པ་རྣམས་སོ། །རང་གི་སྡེ་ཚན་དེ་རྣམས་རིམ་གྱིས་བསད་ཅིང་ཁ་བཏགས་ན་ཡང་ཁྱོད་ཀྱིས་མཐོང་བར་མ་གྱུར་ཏམ། གང་དུ་ཅི་ཞིག་ལྟ་ཞིང་བསྡད་ཅེས་བྱ་བའོ། །གདོལ་པས་ཁྲིད་པའི་མ་ཧེ་བཞིན། །རང་གི་སྡེ་ཚན་གསོད་པ་མཐོང་བ་བཞིན་དུ་ཡང་ཁྱོད་གཉིད་ལོག་པར་བྱེད་དམ་ཞེས་པའོ། །
ལམ་ནི་ཀུན་ནས་བཀག་ནས་སུ། །འཆི་བདག་གིས་ནི་བལྟས་བཞིན་དུ། །ཇི་ལྟར་ཁྱོད་ནི་ཟ་དགའ་ཞིང་། །འདི་ལྟར་གཉིད་ལོག་ཇི་ལྟར་དགའ། །,དགའ་བ་ནི་ཞེན་པའོ། །
མྱུར་བ་ཉིད་དུ་འཆི་འགྱུར་བས། །ཇི་སྲིད་དུ་ནི་ཚོགས་བསག་བྱ། །དེ་ཚེ་ལེ་ལོ་སྤངས་ཀྱང་ནི། །དུས་མ་ཡིན་པར་ཅི་ཞིག་བྱ། །,འཆི་བདག་ཉེ་བར་གྱུར་པས་ལེ་ལོ་སྤང་བར་བྱའོ་ཞེས་སྨོས་ཏེ། གང་གི་ཚེ་གང་ཞིག་ཚགས་སུ་བཅུག་པ་ནི་ནད་ལ་སོགས་པའི་མཚན་ཉིད་དོ། །ཆས་པ་ནི་བསྡོགས་སུ་བཅུག་པའོ། །
འདི་ནི་མ་བྱས་བརྩམས་པ་དང་། །འདི་ཕྱེད་བྱས་པར་གནས་པ་ལ། །གློ་བུར་འཆི་བདག་འོངས་ནས་ནི། །ཀྱི་ཧུད་བཅོམ་ཞེས་སེམས་པར་འགྱུར། །,དུས་མ་ཡིན་པའི་དེ་ཉིད་བསྟན་པའི་ཕྱིར། འདི་ནི་མ་བྱས་ཞེས་བྱ་བ་ལ་སོགས་པའི་ཚིགས་སུ་བཅད་པ་གསུངས་ཏེ། མ་བྱས་པ་ནི་མ་བརྩམས་པའོ། །ཀྱི་ཧུད་ཅེས་པ་ནི་ཨེ་མའོ། །དེ་རིང་འདིར་བཅོམ་པར་གྱུར་ཏོ་ཞེས་སེམས་ཏེ། ཅི་ཞིག་བྱ་ཞེས་འོག་ནས་འབྱུང་བ་དང་འབྲེལ་ཏོ། །
མྱ་ངན་ཤུགས་ཀྱིས་སྐྲངས་པ་ཡི། །མིག་དམར་གདོང་ལ་མཆི་མ་འཛག །ཉེ་དུ་རེ་ཐག་ཆད་པ་དང་། །གཤིན་རྗེའི་ཕོ་ཉའི་བཞིན་ལ་བལྟ། །,མྱ་ངན་ནི་འབྲལ་བར་འགྱུར་བའི་སེམས་ཁྲལ་ལོ། །ཤུགས་ནི་དེའི་རྒྱུན་འཇུག་པའོ། །སྐྲངས་པ་ནི་དེས་སྦོས་པའོ། །དེའི་མིག་དམར་པོར་གྱུར་ནས་མཆི་མ་འཛག་པ་ནི་འབབ་པའོ། །དེ་ལྟ་བུར་གྱུར་པའི་གདོང་པ་ནི་གདོང་ངོ་། །ཉེ་དུ་སྟེ་གཉེན་འབྲེལ་རྣམས་ཀྱི་གདོང་དུ་ཡང་ལྟའོ། །དེ་ནས་ལས་ཀྱི་སྟོབས་ཀྱིས་སྣང་བའི་གཤིན་རྗེའི་ཕོ་ཉའི་བཞིན་ལ་ཡང་ལྟ་བར་བྱེད་དོ། །
རང་སྡིག་དྲན་པས་གདུང་བ་དང་། །དམྱལ་བའི་སྒྲ་ནི་ཐོས་པ་ཡིས། །སྐྲག་པས་མི་གཙང་ལུས་གོས་ཤིང་། །མྱོས་པར་འགྱུར་ཚེ་ཅི་ཞིག་བྱ། །,གདུང་བ་ནི་ཕྱིས་འགྱོད་པས་ཟིན་པའོ། །སྐྲག་པས་མི་གཙང་བ་སྟེ་བཤང་བས་ལུས་ལ་གོས་པར་འགྱུར་བའོ། །
ཁྱོད་ནི་ཉ་གསོན་འགྲེ་བ་ལྟའི། །ཚེ་འདིར་འཇིགས་དང་ལྡན་གྱུར་ན། །སྡིག་བྱས་དམྱལ་བ་མི་བཟད་པའི། །སྡུག་བསྔལ་རྣམས་ནི་སྨོས་ཅི་དགོས། །,དེའི་ཕྱིར་ཚེ་འདི་ཉིད་ལ་འཇིགས་པ་དང་ལྡན་པར་འགྱུར་རོ། །དམྱལ་བའི་ལས་བྱུང་བའི་འཇིགས་པ་ནི་དམྱལ་བའོ། །དེ་དག་གི་སྡུག་བསྔལ་ནི་མི་ཟད་པའོ། །སྨོས་ཅི་དགོས་ཞེས་བྱ་བ་ནི་ལྟ་ཅི་སྨོས་ཞེས་བྱ་བའོ། །
ཆུ་ཚན་གྱིས་ནི་རེག་པ་ན། །གཞོན་ཤ་ཅན་ལ་རབ་ཚ་བའི། །དམྱལ་བ་ཡི་ནི་ལས་བྱས་ནས། །ཅི་ཕྱིར་འདི་ལྟར་བདེ་བར་གནས། །,རབ་ཏུ་ཚ་བ་ཞེས་པ་ནི་བསྲེགས་པས་སོ། །བདེ་བར་གནས་ཞེས་པ་ནི་ཇི་ལྟར་ཁྱོད་སྐྱིད་དུ་རེ་ནས་སྡོད་ཅེས་པའོ། །
བརྩོན་མེད་འབྲས་བུ་འདོད་པ་དང་། །བཟེ་རེ་ཅན་ལ་གནོད་མང་ཞིང་། །འཆི་བས་བཟུང་བཞིན་ལྷ་འདྲ་བ། །ཀྱི་ཧུད་སྡུག་བསྔལ་དག་གིས་བཅོམ། །,ལྷ་ལྟ་བུར་ཞེས་པ་ནི་ལྷ་འཆི་བ་རྣམས་དང་འདྲ་བར་རོ། །སྙིང་རྗེའི་རང་བཞིན་དེ་ལ་སྐྱོ་བ་སྐྱེས་ནས་ཀྱི་ཧུད་སྡུག་བསྔལ་དག་གིས་བཅོམ་ཞེས་སྨོས་ཏེ།
མི་ཡི་གྲུ་ལ་བརྟེན་ནས་སུ། །སྡུག་བསྔལ་ཆུ་བོ་ཆེ་ལས་སྒྲོལ། །གྲུ་འདི་ཕྱི་ནས་རྙེད་དཀའ་བས། །རྨོངས་པ་དུས་སུ་གཉིད་མ་ལོག །,ཀུན་ཏུ་རྨོངས་པ་མང་པོའི་དབང་དུ་སོང་བས་ན་དགའ་བར་གྱུར་ཏོ་ཞེས་བྱ་བའོ། །གཉིད་སྟུག་པོ་རྣམས་དབང་དུ་བྱ་བ་ནི་མིའི་གྲུ་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་སོ། །ངན་པ་ལ་ཞེན་པ་བཟློག་པར་བྱ་བའི་ཕྱིར།
