Source,target_gt,01_zero_shot,03_few_shot_advance,02_few_shot,04_commentary_assisted,06_glossary_assisted,07_commentary_and_glossary_assisted
བདག་ལ་དམིགས་ནས་གང་དག་གི །ཁྲོའམ་དད་པའི་སེམས་བྱུང་བ། །དེ་ཉིད་རྟག་ཏུ་དེ་དག་གི །དོན་ཀུན་འགྲུབ་པའི་རྒྱུར་གྱུར་ཅིག །,"When someone thinks of me and has a thought of anger or faith, may that be the cause of what fulfills their every benefit.",May whatever anger or faith That arises in anyone's mind toward me Always become the cause For all their aims to be accomplished.,"Whoever, focusing on me, Generates a mind of anger or faith, May that very mental state always Become the cause accomplishing all their purposes.",May whatever anger or faith That arises in anyone's mind toward me Always become the cause For all their aims to be accomplished.,May whatever anger or faith That arises in anyone's mind towards me Always become the very cause For fulfilling all their wishes.,"For those who focus on me, Whether with anger or faith arising in their minds, May that very focus always be The cause for accomplishing all their aims.","For those who think of me with wrath or faith, May these emotions, whichever they be, Become the cause, enduring without wraith, To fulfill all their aims eternally."
གང་དག་བདག་ལ་ཁ་ཟེར་རམ། །གཞན་དག་གནོད་པ་བྱེད་པའམ། །དེ་བཞིན་ཕྱར་ཀ་གཏོང་ཡང་རུང་། །ཐམས་ཅད་བྱང་ཆུབ་སྐལ་ལྡན་གྱུར། །,"May anyone who slanders me, any others who cause harm, and all who criticize me have the fortune to awaken.","Whoever speaks ill of me, Or harms me in other ways, Or even mocks and ridicules me, May they all become destined for enlightenment.","Whether some verbally abuse me, Or others inflict harm, Or even mock me, May all become fortunate ones destined for enlightenment.","Whoever speaks ill of me, Or causes harm to others, Or even mocks and ridicules - May they all become destined for enlightenment.","Whether some verbally abuse me, Or others cause harm, Or likewise spread slander, May they all become fortunate enough to attain enlightenment.","Whoever slanders me, Or causes harm to others, Or likewise hurls abuse, May they all become fortunate ones destined for enlightenment.","Those who slander me or cause me pain, Or spread false rumors to tarnish my name, May they all, enlightenment's fortune gain, And share in awakening's noble aim."
བདག་ནི་མགོན་མེད་རྣམས་ཀྱི་མགོན། །ལམ་ཞུགས་རྣམས་ཀྱི་དེད་དཔོན་དང་། །བརྒལ་འདོད་རྣམས་ཀྱི་གྲུ་དང་ནི། །གཟིངས་དང་ཟམ་པ་ཉིད་དུ་གྱུར། །,"May I be a guardian of the defenseless, A leader of travelers, A boat or ship or even a bridge For those who wish to cross,","I am the protector of those without protection, The guide for those who have entered the path, The boat and The raft and bridge for those who wish to cross over.","May I become a protector for the protectorless, A guide for those who have entered the path, A boat, a ship, and a bridge For those wishing to cross over.","I shall become a protector for those without protection, A guide for those who have entered the path, A boat, a raft, and a bridge For those who wish to cross over.","May I become a protector for those without protection, A guide for those who have entered the path, And for those wishing to cross over, May I be a boat, a ship, and a bridge.","I am the protector of the defenseless, The leader for those who have entered the path, The boat for those who wish to cross, And I have become the ship and the bridge itself.","For the defenseless, may I be guardian, For those on paths, a leader showing way, For those who'd cross, a boat, a ship to span, A bridge for all who seek to cross, I pray."
ཡིད་བཞིན་ནོར་དང་བུམ་པ་བཟང་། །རིག་སྔགས་གྲུབ་དང་སྨན་ཆེན་དང་། །དཔག་བསམ་གྱི་ནི་ཤིང་དག་དང་། །ལུས་ཅན་རྣམས་ཀྱི་འདོད་འཇོར་གྱུར། །,"May I be a wish-fulfilling jewel, fine vase, accomplished mantra, great medicine, a heaven tree, and bountiful cow for beings.","Like a wish-fulfilling jewel, an excellent vase, A powerful mantra, a great medicine, A wish-granting tree, May I become a fulfiller of the desires of all beings.","The wish-fulfilling jewel and excellent vase, Accomplished vidyāmantras and great medicine, The wish-fulfilling trees as well, Become wish-granters for embodied beings.","Like a wish-fulfilling jewel, an excellent vase, A realized mantra, a great medicine, A wish-granting tree, May they fulfill the desires of all beings.","May the wish-fulfilling jewel and excellent vase, The accomplished mantra and great medicine, Along with the wish-fulfilling trees, Become wish-granters for all sentient beings.",,"Like wish-granting jewel and precious vase, Accomplished spells and potent healing balm, Wish-fulfilling tree of heavenly grace, For all beings, a cow of plenty's calm."
ས་སོགས་འབྱུང་བ་ཆེན་པོ་དང་། །ནམ་མཁའ་བཞིན་དུ་རྟག་པར་ཡང་། །སེམས་ཅན་དཔག་ཏུ་མེད་པ་ཡི། །རྣམ་མང་ཉེར་འཚོའི་གཞིར་ཡང་ཤོག །,"Like earth and the other elements, Like space, may I always be The ground, supporting in many ways The lives of sentient beings.","Like the earth and other great elements, And like space itself, may I always be The ground of life with infinite diversity For boundless numbers of sentient beings.","Like the great elements such as earth, And like space, may I always be The ground of life and sustenance For sentient beings infinite in number.","Like earth and other great elements, And like space, may I always be The basis for the varied needs Of boundless sentient beings.","Like the earth and other great elements, and like space, May I always be the basis for sustaining The diverse needs of countless sentient beings In their myriad forms.","Like the great elements such as earth and space, May I always be the foundation For the diverse sustenance Of countless sentient beings.","Like earth and elements, vast and grand, And space, enduring through eternity, May I sustain beings, a countless band, In myriad ways, their endless ground to be."
དེ་བཞིན་ནམ་མཁའི་མཐས་གཏུགས་པའི། །སེམས་ཅན་ཁམས་ལ་རྣམ་ཀུན་དུ། །ཐམས་ཅད་མྱ་ངན་འདས་བར་དུ། །བདག་ནི་ཉེར་འཚོའི་རྒྱུར་ཡང་ཤོག །,"Likewise in all ways for all beings Out to the edges of space, May I be, till all pass to nirvana, What gives them sustenance.","Just as space extends to the farthest reaches, May I be a source of sustenance For all sentient beings in every realm, Until they all attain nirvana.","Likewise, for the realm of sentient beings Reaching to the limits of space, In all ways, until all attain nirvana, May I be a cause of their sustenance.","Just as space extends to its limits, May I be a source of sustenance For all beings in every realm, Until they all attain nirvana.","Just as space extends to its limits, May I be a source of sustenance For all beings throughout the realms, In every way, until they all attain nirvana.","Just as space extends to its limits, May I be a source of sustenance For all realms of beings, In every way, until they all attain nirvana.","For beings vast as space's farthest reach, In every realm, in ways beyond measure, Until they all nirvana's shore can breach, May I be cause of life and all pleasure."
ཇི་ལྟར་སྔོན་གྱི་བདེ་གཤེགས་ཀྱིས། །བྱང་ཆུབ་ཐུགས་ནི་བསྐྱེད་པ་དང་། །བྱང་ཆུབ་སེམས་དཔའི་བསླབ་པ་ལ། །དེ་དག་རིམ་བཞིན་གནས་པ་ལྟར། །,"Just as the sugatas of the past Aroused the mind of bodhichitta, Just as they followed step-by-step The training of the bodhisattvas,","Just as the Sugatas of the past Generated the mind of enlightenment, And progressively dwelt In the training of bodhisattvas,","Just as the previous sugatas Generated the mind of enlightenment, And gradually abided In the training of bodhisattvas,","Just as the sugatas of the past Generated the mind of enlightenment, And progressively abided in The training of bodhisattvas,","Just as the previous Sugatas (Buddhas) Generated the mind of enlightenment, And progressively trained In the bodhisattva practices,","Just as the Sugatas of the past Generated the mind of enlightenment, And dwelled step-by-step In the training of the bodhisattvas,","Just as Sugatas of times long past Awakened bodhicitta in their hearts, And in the bodhisattva trainings vast, They dwelt, progressing through all stages' parts,"
དེ་བཞིན་འགྲོ་ལ་ཕན་དོན་དུ། །བྱང་ཆུབ་སེམས་ནི་བསྐྱེད་བགྱི་ཞིང་། །དེ་བཞིན་དུ་ནི་བསླབ་པ་ལའང་། །རིམ་པ་བཞིན་དུ་བསླབ་པར་བགྱི། །,"So, too, shall I, to benefit wanderers, Arouse the mind of bodhichitta. So, too, shall I follow step-by-step The bodhisattvas' training.","Likewise, for the benefit of beings, I shall generate the mind of enlightenment. And in that way, I shall also Train step by step in the precepts.","Likewise, for the benefit of beings, I shall generate bodhicitta, And in the same way, in the trainings too, I shall train step by step.","Likewise, for the benefit of beings, I shall generate the mind of enlightenment. And in the same way, regarding the trainings, I shall train in them step by step.","Likewise, for the benefit of beings, I will generate the mind of enlightenment. And similarly, in the trainings as well, I will train step by step.","Likewise, for the benefit of sentient beings, I shall generate bodhichitta, And in the same way, I shall train Gradually in the precepts.","So too, for beings' benefit, I vow To generate the mind of bodhichitta. And in the trainings, I shall learn and grow, Progressing step by step, with effort steadfast."
དེ་ལྟར་བློ་དང་ལྡན་པ་ཡིས། །རབ་དང་བྱང་ཆུབ་སེམས་བཟུང་ནས། །མཇུག་ཀྱང་རྒྱས་པར་བྱ་བའི་ཕྱིར། །སེམས་ནི་འདི་ལྟར་གཟེངས་བསྟོད་དོ། །,"Once the intelligent have thus Embraced sincerely bodhichitta, They take delight in their resolve So that it may continue to grow.","Thus, those endowed with wisdom, Having firmly grasped the mind of enlightenment, In order to further develop it, Should praise and encourage the mind in this way:","Thus, the intelligent one, having firmly grasped the excellent bodhicitta, in order to further develop it afterwards, should exalt the mind in this way:","Thus, those endowed with wisdom, Having firmly grasped the awakening mind, In order to further expand it thereafter, Should praise and encourage the mind in this way.","Thus, those endowed with wisdom, Having generated bodhicitta with utmost faith, In order to further expand it in the end, Should uplift their minds in this way:","Thus, those endowed with intellect, Having firmly grasped bodhichitta, In order to fully accomplish the end as well, Take delight in the mind in this way.","Thus, with an intellect imbued with faith, Having firmly grasped the mind of awakening, To further expand it till the very end, One should uplift the mind in this manner:"
དེང་དུ་བདག་ཚེ་འབྲས་བུ་ཡོད། །མི་ཡི་སྲིད་པ་ལེགས་པར་ཐོབ། །དི་རིང་སངས་རྒྱས་རིགས་སུ་སྐྱེས། །སངས་རྒྱས་སྲས་སུ་བདག་དེང་གྱུར། །,My life has become fruitful now. I've gained this human existence well. Now I've been born in the buddhas' family And have become the buddhas' child.,Today my life has borne fruit; I have obtained a fortunate human existence. Today I am born into the family of the Buddhas; Now I have become a child of the Buddhas.,"Today, my life has become fruitful. I have excellently obtained a human existence. Today, I am born into the Buddha's lineage. Now, I have become a child of the Buddhas.",Today my life has borne fruit; I have well obtained a human existence. Today I am born into the Buddha's family; I have now become a child of the Buddha.,"Today, my life has become fruitful. I have excellently obtained a human existence. Today, I am born into the Buddha's family. Now, I have become a child of the Buddha.",Today my life has borne fruit. I have excellently attained human existence. Today I am born into the Buddha's family. Now I have become a Bodhisattva.,"Today my life has become fruitful, Human existence I've excellently gained. This day I'm born in Buddha's lineage, A Bodhisattva I have now become."
ལོང་བས་ཕྱག་དང་ཕུང་པོ་ལས། །ཇི་ལྟར་རིན་ཆེན་རྙེད་པ་ལྟར། །དེ་བཞིན་ཇི་ཞིག་ལྟར་སྟེས་ནས། །བྱང་ཆུབ་སེམས་འདི་བདག་ལ་སྐྱེས། །,"Like a blind man who has discovered A jewel amidst a heap of garbage, Somehow, by a coincidence, Bodhichitta has been born in me.","Just as a blind person might find a jewel In a heap of rubbish, So too, somehow by chance, This awakening mind has arisen in me.","Just as a blind person might find a jewel In a heap of rubbish, So too, somehow by chance, This bodhicitta has arisen in me.","Just as a blind person might find A precious jewel in a heap of rubbish, Likewise, somehow by chance, This awakening mind has arisen in me.","Just as a blind person might somehow find a precious jewel In a pile of swept-up dust, So too, by some fortunate circumstance, This mind of enlightenment has arisen in me.","Just as a blind man might find a jewel In a heap of rubbish with his hand, So too, by some coincidence, This bodhichitta has been born in me.","As when a blind man chances on a gem Amidst a heap of dust swept by his hand, So too, by some miraculous stroke of fate, Bodhichitta has arisen in my mind."
འགྲོ་བའི་འཆི་བདག་འཇོམས་བྱེད་པའི། །བདུད་རྩི་མཆོག་ཀྱང་འདི་ཡིན་ནོ། །འགྲོ་བའི་དབུལ་བ་སེལ་བ་ཡི། །མི་ཟད་གཏེར་ཡང་འདི་ཡིན་ནོ། །,This is the great elixir that vanquishes the Lord of Death. It is the inexhaustible treasure dispelling the poverty of beings.,This is the supreme nectar That conquers the lord of death for beings. This is also the inexhaustible treasure That dispels the poverty of beings.,This is also the supreme amrita That conquers the lord of death for beings. This is also the inexhaustible treasure That eliminates the poverty of beings.,This is also the supreme nectar That conquers the lord of death for beings. This is also the inexhaustible treasure That dispels the poverty of beings.,This is the supreme nectar  That conquers the lord of death for beings. This is also the inexhaustible treasure That dispels the poverty of beings.,This is also the supreme elixir That conquers the wanderers' Lord of Death. This is also the inexhaustible treasure That dispels the poverty of wanderers.,This is the supreme elixir that destroys The Lord of Death that plagues all sentient beings. This is the inexhaustible treasure that Removes the poverty of wandering beings.
འགྲོ་བའི་ནད་རབ་ཞི་བྱེད་པའི། །སྨན་གྱི་མཆོག་ཀྱང་འདི་ཡིན་ནོ། །སྲིད་ལམ་འཁྱམ་ཞིང་དུབ་པ་ཡི། །འགྲོ་བའི་ངལ་སོ་ལྗོན་ཤིང་ཡིན། །,"This is the supreme medicine That cures the maladies of the world, A resting tree for beings exhausted From wandering the paths of existence.",This is also the supreme medicine That pacifies the illnesses of beings. It is the tree of rest For weary wanderers on the path of existence.,This is also the supreme medicine That pacifies the illnesses of beings. It is the wish-fulfilling tree of rest For beings exhausted from wandering the paths of existence.,This is also the supreme medicine That pacifies the illnesses of beings. It is the resting tree for weary travelers Wandering exhausted on the paths of existence.,This is also the supreme medicine That pacifies the illnesses of beings. It is the tree that gives rest To wanderers exhausted on the paths of existence.,This is also the supreme medicine That thoroughly cures the maladies of wanderers. It is the tree for resting For beings exhausted from wandering the paths of existence.,"This is the supreme medicine that cures All maladies afflicting sentient beings. For wanderers tired on existence's paths, It is the tree where beings find their rest."
འགྲོ་བ་ཐམས་ཅད་ངན་འགྲོ་ལས། །སྒྲོལ་བར་བྱེད་པའི་སྤྱི་སྟེགས་ཡིན། །འགྲོ་བའི་ཉོན་མོངས་གདུང་སེལ་བའི། །སེམས་ཀྱི་ཟླ་བ་ཤར་བ་ཡིན། །,"This is the universal bridge that frees all beings from lower realms, the rising moon of mind that soothes the torments of sentient beings' afflictions.",It is the universal vehicle that liberates All beings from the lower realms. It is the rising of the moon in the mind That dispels the torment of beings' afflictions.,It is the common foundation that liberates All beings from the lower realms. It is the rising of the mind's moon That removes the torment of beings' afflictions.,It is the common vehicle that liberates All beings from the lower realms. It is the rising of the mind's moon That dispels the torment of beings' afflictions.,It is the universal platform that liberates All beings from the lower realms. It is the rising of the mind's moon That dispels the burning afflictions of beings.,It is the universal bridge that liberates all beings from the lower realms. It is the rising moon of the mind that dispels the afflictions tormenting sentient beings.,It is the universal bridge that frees All wandering beings from the lower realms. It is the moon of mind that has arisen To dispel the torment of afflictions.
འགྲོ་བའི་མི་ཤེས་རབ་རིབ་དག །དཔྱིས་འབྱིན་ཉི་མ་ཆེན་པོ་ཡིན། །དམ་ཆོས་འོ་མ་བསྲུབས་པ་ལས། །མར་གྱི་ཉིང་ཁུ་བྱུང་བ་ཡིན། །,It's the great sun that brings an end To the darkness of beings' ignorance. It is the butter that emerges From churning the milk of the true dharma.,"You are the great sun that dispels The cataracts of beings' ignorance. From churning the milk of the holy Dharma, The essence of butter has emerged.",It is the great sun that eradicates The cataracts of beings' ignorance. It is the essence of butter that emerges From churning the milk of the sacred Dharma.,"The great sun dispels The cataracts of beings' ignorance. From churning the milk of the holy Dharma, The essence of butter has emerged.",It is the great sun that thoroughly dispels The cataracts of beings' ignorance. It is the butter essence that emerges From churning the milk of the holy Dharma.,"The great sun that thoroughly dispels The cataracts of beings' ignorance; From churning the milk of the true dharma, The essence of butter has emerged.","It is the mighty sun that fully clears The cataracts of beings' ignorance. It is the essence churned from all the milk Of Dharma, the most precious butter's core."
འགྲོ་བའི་མགྲོན་པོ་སྲིད་པའི་ལམ་རྒྱུ་ཞིང་། །བདེ་བའི་ལོངས་སྤྱོད་སྤྱད་པར་འདོད་པ་ལ། །འདི་ནི་བདེ་བའི་མཆོག་ཏུ་ཉེར་གནས་ཏེ། །སེམས་ཅན་མགྲོན་ཆེན་ཚིམ་པར་བྱེད་པ་ཡིན། །,"For travelers roaming on the paths of existence, Desiring to partake of happiness, This sublime blissfulness is close at hand To satisfy the supreme guests, sentient beings.","The guest of beings travels the path of existence, Desiring to experience the enjoyments of happiness. This abides as the supreme happiness: Satisfying the great guests that are sentient beings.","For the guests of beings traveling the path of existence, Who desire to experience enjoyments of happiness, This abides as the supreme of happiness, It is that which satisfies the great guests of sentient beings.","As a guest traveling the paths of existence, Desiring to enjoy pleasures and comforts, This is the supreme abode of happiness: Satisfying the great guest of sentient beings.","For wandering beings who are guests traversing the path of existence, Desiring to experience the enjoyments of happiness, This bodhicitta abides as the supreme source of bliss, Satisfying the great multitude of beings as guests.",,"For wandering beings, guests on existence's paths, Who seek to taste the pleasures of delight, This dwells as bliss supreme, a feast most grand, To sate these sentient guests with pure delight."
བདག་གིས་དེ་རིང་སྐྱོབ་པ་ཐམས་ཅད་ཀྱི། །སྤྱན་སྔར་འགྲོ་བ་བདེ་གཤེགས་ཉིད་དང་ནི། །བར་དུ་བདེ་ལ་མགྲོན་དུ་བོས་ཟིན་གྱིས། །ལྷ་དང་ལྷ་མིན་ལ་སོགས་དགའ་བར་གྱིས། །,"Today, in the presence of all the protectors, I invite all sentient beings as my guests To buddhahood, and till then happiness. Gods, demigods, and everyone rejoice!","Today, in the presence of all the protectors, I invite beings to the state of blissful enlightenment, And in the meantime, to happiness as my guests. May gods, demigods, and all others rejoice!","Today, in the presence of all protectors, I have invited beings as guests to sugatahood And to happiness in the interim. Gods, asuras, and others, rejoice!","Today, in the presence of all protectors, I invite beings to the state of the Sugatas, And meanwhile to happiness as my guests. May gods, asuras, and others rejoice!","Today, before all the protectors, I invite beings to the state of the Sugatas (Buddhas) And, meanwhile, to happiness as guests. May gods, demigods, and all others rejoice!","Today, in the presence of all Protectors, I have invited beings to the state of Sugata, And in the interim, as guests to happiness. May gods, demigods, and others rejoice!","Today, before the eyes of all Protectors, I bid all beings to Buddha's bliss and joy, As guests to happiness until that time. May gods and demigods and all rejoice!"
རྒྱལ་བའི་སྲས་ཀྱིས་དེ་ལྟ་བུར། །བྱང་ཆུབ་སེམས་རབ་བརྟན་བཟུང་ནས། །གཡེལ་བ་མེད་པར་རྟག་ཏུ་ཡང་། །བསླབ་ལས་མི་འདའ་འབད་པར་བྱ། །,The victors' offspring who have thus grasped bodhichitta steadfastly must strive without any lassitude to never violate the precepts.,"Thus, the child of the Victorious One, Having firmly grasped the mind of enlightenment, Should strive diligently at all times, without distraction, To not transgress the trainings.","The offspring of the Victorious Ones, having thus Firmly grasped bodhicitta, Should always strive without distraction To not transgress the trainings.","Thus, the children of the Victorious Ones Should firmly hold the awakening mind. Without laziness, always and ever, Strive not to transgress the trainings.","Thus, the children of the Victorious Ones, Having firmly grasped bodhicitta, Should constantly strive without distraction To never transgress their training.","The Victors' offspring, having firmly grasped Such bodhichitta, should constantly strive Without lassitude, to never transgress The precepts, making diligent efforts.","Thus should the Victor's offspring firmly grasp The precious mind of bodhichitta's vow. Then, ever diligent, without lassitude, Strive not to stray from training in precepts."
བབ་ཅོལ་བརྩམས་པ་གང་ཡིན་པའམ། །གང་ཞིག་ལེགས་པར་མ་བརྟགས་པ། །དེ་ནི་དམ་བཅས་བྱས་གྱུར་ཀྱང་། །བྱའམ་བཏང་ཞེས་བརྟགས་པའི་རིགས། །,"When something has been started rashly Or is not properly thought out, Even if promised, it is best To examine whether to act or not.","Whatever has been hastily undertaken, Or whatever has not been well examined, Even if it was sworn as a vow, It is proper to reconsider whether to do it or abandon it.","Whatever has been rashly undertaken, Or whatever has not been well examined, Even though a commitment has been made, It is proper to examine whether to do it or abandon it.","Whatever was begun rashly, Or whatever was not well examined, Even if a commitment was made, It is proper to reconsider whether to do it or abandon it.","Whatever action is hastily undertaken, Or that which is not well-examined, Even if one has made a commitment to do it, It is proper to reconsider whether to do it or abandon it.","Whatever has been rashly begun, Or that which has not been properly examined, Even if it was promised, Should be reconsidered whether to act or not.","Whatever's rashly started without thought, Or what's not properly examined first, Though promised, it is fitting to reflect: Should it be done or should it be renounced?"
སངས་རྒྱས་རྣམས་དང་དེ་ཡི་སྲས། །ཤེས་རབ་ཆེན་པོས་གང་བརྟགས་ཤིང་། །བདག་ཉིད་ཀྱིས་ཀྱང་བརྟག་བརྟགས་པ། །དེ་ལ་བཤོལ་དུ་ཅི་ཞིག་ཡོད། །,But why should I put off that which The buddhas and their offspring have Investigated with great prajna And I myself have also examined?,"What the Buddhas and their spiritual heirs Have examined with their great wisdom, And what I myself have carefully investigated - What reason could there be to delay in this?","That which the Buddhas and their offspring Have examined with great wisdom, And which I myself have also analyzed— What reason is there to delay in this?","What the Buddhas and their heirs Have examined with great wisdom, And what I myself have also analyzed, How could there be any hesitation about that?","That which has been examined by the Buddhas and their heirs With their great wisdom, and which I too have thoroughly investigated— What reason is there to delay in embracing these teachings?","What the Buddhas and their spiritual heirs Have examined with great wisdom, And what I myself have also carefully investigated, How could there be any reason to put off practicing that?","What Buddhas and their offspring have surveyed With their great wisdom's penetrating eye, And what I too have scrutinized myself, What reason could there be to put this off?"
གལ་ཏེ་དེ་ལྟར་དམ་བཅས་ནས། །ལས་ཀྱིས་བསྒྲུབ་པ་མ་བྱས་ན། །སེམས་ཅན་དེ་དག་ཀུན་བསླུས་པས། །བདག་གི་འགྲོ་བ་ཅི་འདྟར་འགྱུར། །,"If now that I have made a promise, I don't fulfill it with my actions, I will have hoodwinked all those beings, And what will be my destiny?","If after making such a vow, One does not fulfill it through action, Having deceived all those beings, What will become of my future rebirths?","If, having made such a vow, I do not accomplish it through action, I will have deceived all those beings. What will my destiny be?","If after making such a commitment, One does not follow through with actions, Having deceived all those beings, What will become of my destiny?",,"If, having thus vowed, I do not fulfill it through my actions, I will have deceived all those sentient beings. What then will become of my destiny?","If, having made such solemn vows as these, I fail to follow through with righteous deeds, Then, having thus deceived all sentient beings, What destiny would then await my path?"
དངོས་པོ་ཕལ་པ་ཅུང་ཟད་ལའང་། །ཡིད་ཀྱིས་སྦྱིན་པར་བསམ་བྱས་ནས། །མི་གང་སྦྱིན་པར་མི་བྱེད་པ། །དེ་ཡང་ཡི་དགས་འགྱུར་གསུངས་ན། །,"A person who thinks in their mind to give some trifling, little thing but does not give it will become a hungry ghost, it has been said.","Even for the smallest ordinary thing, If one thinks in one's mind to give it away, But then does not actually give it, It is said that person will become a hungry ghost.","Even for a trivial object, Having thought in mind to give it, Whoever does not actually give, It is said they will become a preta.","Even for the slightest ordinary thing, If one thinks of giving it in one's mind, Yet does not actually give it away, It is said one will become a hungry ghost.","Even for the smallest ordinary thing, If one thinks in their mind to give it away, But then does not actually give it, It is said they will become a hungry ghost.","Even for the slightest ordinary thing, If one thinks in their mind to give it, But then does not actually give it, It is said they will become a hungry ghost.","If one who merely thought to give away Some trifling thing, yet failed to follow through, Is said to be reborn a hungry ghost, Then what of those who break far greater vows?"
བླ་ན་མེད་པའི་བདེ་བ་ལ། །བསམ་པ་ཐག་པས་མགྲོན་གཉེར་ནས། །འགྲོ་བ་ཐམས་ཅད་བསླུ་བྱས་ན། །བདེ་འགྲོར་ཇི་ག་འགྲོ་འགྱུར་རམ། །,"Having invited them from my heart as guests to sublime happiness, if I deceive all wanderers, will I go to the higher realms?","If one earnestly seeks the supreme bliss, Yet deceives all sentient beings, How could one possibly attain a fortunate rebirth?","Having wholeheartedly invited oneself to unsurpassed bliss, If one deceives all beings, How could one possibly go to the happy realms?","If one earnestly seeks unsurpassed happiness, Yet deceives all beings, How could one possibly attain A fortunate rebirth?","Having firmly resolved to invite as guests All beings to unsurpassed happiness, If one then deceives all these beings, How could one possibly reach a happy realm?","If, after sincerely inviting all beings To the supreme happiness, One then deceives them all, How could one possibly attain a higher realm?","If, having pledged to all as honored guests The highest bliss, with deepest sincerity, I then deceive these wandering beings all, How could I hope for higher realms to reach?"
མི་གང་བྱང་ཆུབ་སེམས་བཏང་ཡང་། །དེ་དག་ཐར་བར་བྱེད་པ་ནི། །ལས་ཚུལ་བསམ་གྱིས་མི་ཁྱབ་སྟེ། །ཐམས་ཅད་མཁྱེན་པ་ཁོ་ནས་མཁྱེན། །,People who give up bodhichitta still being liberated is an inconceivable way of karma that only the omniscient know.,"Though some may abandon the mind of enlightenment, Those who liberate them Act in ways beyond conception; Only the Omniscient One truly knows.","Even if someone abandons bodhicitta, The way those people are liberated Is through inconceivable karmic workings, Known only by the omniscient one.","Even for those who have abandoned bodhicitta, Their liberation is accomplished Through inconceivable methods of karma. This is known only by the Omniscient One.","Even if some people abandon the mind of enlightenment, The way they are led to liberation Is an inconceivable working of karma. Only the Omniscient One truly knows this.","Though people may abandon Bodhichitta, Those who bring about their liberation, The way of karma is inconceivable, Known only by the Omniscient One.","Though some abandon bodhichitta's vow, Yet still they may achieve liberation. Such karmic workings are beyond our grasp, Known only to the Omniscient One's mind."
དེ་ནི་བྱང་ཆུབ་སེམས་དཔའ་ལ། །ལྟུང་བའི་ནང་ན་ལྕི་བ་སྟེ། །འདི་ལྟར་དེ་ནི་བྱུང་གྱུར་ན། །སེམས་ཅན་ཀུན་གྱི་དོན་ལ་དམན། །,"This downfall, for a bodhisattva, is the most serious of all. If it occurs, their benefit to all sentient beings is diminished.","For a bodhisattva, this is the heaviest Among downfalls, for if it occurs, It diminishes the welfare Of all sentient beings.","For the bodhisattva, this is the heaviest among downfalls. If this occurs, it diminishes the benefit of all sentient beings.","This is the heaviest downfall For a bodhisattva among transgressions. For if this were to occur, It would diminish the welfare of all beings.","For a bodhisattva, this is the heaviest among downfalls. If this occurs, one's ability to benefit all sentient beings is severely diminished.","This is a grave downfall for a Bodhisattva. If this occurs, It diminishes the welfare of all sentient beings.","For Bodhisattvas, this is gravest fall Among all downfalls one could ever face. For if this lapse should ever come to pass, It dims the light that serves all beings' needs."
གང་གཞན་སྐད་ཅིག་ཙམ་ཡང་འདིའི། །བསོད་ནམས་བར་ཆད་གེགས་བྱེད་པ། །སེམས་ཅན་དོན་ལ་དམན་གྱུར་པས། །དེ་ཡི་ངན་འགྲོ་མུ་མཐའ་མེད། །,Anyone else who thwarts their merit Even a moment will be born Endlessly in the lower realms Since they've decreased all beings' welfare.,"Whoever, even for a single moment, Obstructs or hinders this merit, By diminishing the welfare of beings, Their lower rebirths will be endless.","Whoever, even for a single moment, Obstructs or hinders the merit of this, Because of diminishing the welfare of sentient beings, Their lower realms rebirths will be without end.","Whoever, even for a single moment, Obstructs or hinders the merit Of this one devoted to beings' welfare, Their lower rebirths will be endless.","Whoever, even for a moment, obstructs The merit of this bodhisattva, Diminishes the benefit for sentient beings. Their lower rebirths will be endless.","Whoever, even for a moment, obstructs The merits of this practice, Diminishes the welfare of sentient beings, And thus their lower realms of rebirth will be endless.","Whoever, even for a moment's span, Obstructs the merit of this noble path, By hampering the good for beings done, Will face unending realms of woe below."
སེམས་ཅན་གཅིག་གི་བདེ་བ་ཡང་། །བཤིག་ན་བདག་ཉིད་ཉམས་འགྱུར་ན། །ནམ་མཁའ་མ་ལུས་མཐའ་ཀླས་པའི། །ལུས་ཅན་བདེ་བཤིག་སྨོས་ཅི་དགོས། །,"If one who spoils the happiness of even a single being is ruined, why mention ruining the well-being of infinite beings throughout space?","If destroying even one being's happiness Causes oneself to decline, What need is there to mention Destroying the happiness of limitless beings That fill the entire expanse of space?","If destroying even one sentient being's happiness Would cause myself to degenerate, What need is there to mention destroying the happiness Of embodied beings as limitless as space?","If destroying even one being's happiness Would cause oneself to decline, What need is there to mention destroying The happiness of limitless beings filling space?","If destroying even one being's happiness Leads to my own degeneration, Then what need is there to mention Destroying the happiness of limitless embodied beings Throughout the entirety of space?","If destroying even one sentient being's happiness Causes oneself to decline, What need is there to mention destroying the happiness Of embodied beings as limitless as space itself?","If harming just one being's happiness Would cause oneself to fall from grace, Then what of crushing joy of countless beings Who fill the boundless reaches of the sky?"
